Facility Name,Address,City,County,State,Zip,Township,Watershed,Animal 1 Species,Animal 1 Count,Animal 2 Species,Animal 2 Count
"Fine Swine LLC, Lucasville Sow Unit",1136 Coldicott Hill Road,Lucasville,Pike,OH,45648,Camp Creek,05060002 - Lower Scioto,Swine - over 55 lbs,4032,,
Flat Land Dairy,6755 County Road 144,Antwerp,Paulding,OH,45813,Harrison,04100005 - Upper Maumee,Dairy,3144,,
"Flax Farms (formerly Gain and Grain Farm, Inc.",1999 Brighton Rd.,London,Madison,OH,43140,Union,05060002 - Lower Scioto,Swine - over 55 lbs,2000,Swine - under 55 lbs,1000
"FNW Enterprise, LLC",11002 Reed Road,Versailles,Darke,OH,45380,Wayne,05080001 - Upper Great Miami,Beef,4000,,
Fortkamp Family Poultry Farm,1238 Peters Road,Ft. Recovery,Darke,OH,45846,Mississinawa,05120103 - Mississinewa,Chickens-Layers,108600,,
Four Pines Farms Ltd,8064 Sugarcreek Road,Sugar Creek,Tuscarawas,OH,44681,Auburn,05090101 - Racoon-Symmes,Dairy,1730,Slaughter-Feeder-Heifer,564
Fox Tail,9496 Jericho Road,Hicksville,Defiance,OH,43526,Mark,04100005 - Upper Maumee,Swine - over 55 lbs,3675,,
Fraver Farms,10218 W. County Rd. 60,Fostoria,Seneca,OH,44830,Loudon,04100011 - Sandusky,Swine - over 55 lbs,4000,,
Gerald Post Pullets,2751 Fox Road,Ft. Recovery,Mercer,OH,45846,Gibson,05120103 - Mississinewa,Chicken-Pullets,134000,,
Gill Dairy,14997 Charleston-Chillicothe,South Solon,Madison,OH,43153,Range,05060003 - Paint,Dairy,3107,,
Gina Dairy,14349 Richy Road,Ohio City,Van Wert,OH,45874,Liberty,04100007 - Auglaize,Dairy,1300,Slaughter-Feeder-Heifer,200
GJD (formerly Porky's),00143 Southland Road,New Breman,Auglaize,OH,45869,St.Marys,05120101 - Upper Wabash,Swine - over 55 lbs,4000,,
"Goebel Pork, LLC",05870 County Road 23-50,Stryker,Williams,OH,43557,Springfield,04100006 - Tiffin,Swine - over 55 lbs,4550,,
Goshen Pullet 5 & 6,12923 Co. Rd. 255,LaRue,Hardin,OH,43332,Dudley,04100011 - Sandusky,Chicken-Pullets,1475079,,
Grand Republic,06684 US Highway 6,Edgerton,Williams,OH,43517,St. Joseph,04100003 - St. Joseph,Swine - over 55 lbs,7350,,
"Guggenbiller Farms, Inc.",2820 Watkins Rd.,Ft. Recovery,Mercer,OH,45846,Gibson,05120101 - Upper Wabash,Chickens-Layers,208900,,
"Happy Yolks, LLC",3631 Lawrence Rd.,Harrod,Allen,OH,45850,Auglaize,04100007 - Auglaize,Chickens-Layers,404616,,
Hatcher Farms,995 Shafer Rd. (Not a mailing address),Bucyrus,Crawford,OH,44820,Holmes,04100011 - Sandusky,Swine - over 55 lbs,4650,,
Hathaway Farms,8553 Quaker Rd.,Fredericktown,Knox,OH,43019,Middlebury,05040003 - Walhonding,Swine - over 55 lbs,4800,,
"Heartland Dairy Holdings, LLC ((formerly Rockford Dairy)(formerly Hopewell Dairy)",3101 Tama Road,Rockford,Mercer,OH,45882,Hopewell,04100004 - St. Marys,Dairy,2100,,
Heartland Quality Egg Farm,9800 County Rd. 26,West Mansfield,Logan,OH,43358,Bokes Creek,05060001 - Upper Scioto,Chickens-Layers,1754910,,
Hefner's Dola Swine Farm,3507 Washington Twp Road 105,Dola,Hardin,OH,45835,Washington,04100007 - Auglaize,Swine - over 55 lbs,4200,,
"Heitbrink Swine Farm, LLC",1623 Minster-Egypt Pike,Minster,Auglaize,OH,45865,Jackson,05080001 - Upper Great Miami,Swine - over 55 lbs,4800,,
"Hertzfeld Poultry Farms, Inc.",15799 Milton Road,Grand Rapids,Wood,OH,43522,Grand Rapids,04100009 - Lower Maumee,Chickens-Layers,887167,,
Highslip Pork,7665 Township Road 105,Kenton,Hardin,OH,43326,Cessna,04100008 - Blanchard,Swine - over 55 lbs,4200,,
Hillandale Dalton (formerly Premier Eggs Stark,2280 Deerfield Ave.,Dalton,Stark,OH,44618,Tuscarawas,05040001 - Tuscarawas,Chickens-Layers,269243,,
Hillandale Farms,9715 Rosedale Road,Hicksville,Defiance,OH,43526,Hicksville,04100005 - Upper Maumee,Chickens-Layers,4105728,,
"Hillandale Pine Creek (formerlyPremier Eggs - Scioto County Farms (formerly RNW Farms, LLC)",710 A Apel Road,Franklin Furnace,Scioto,OH,45629,Green,05090103 - Little Scioto-Tygarts,Chickens-Layers,450000,,
Hillside Acres,22051 County Road 48,Grover Hill,Paulding,OH,45849,Washington,04100007 - Auglaize,Swine - over 55 lbs,8800,,
"Howe's Hens, LLC",13243 Cochran Road,Rossburg,Darke,OH,45362,Allen,05080001 - Upper Great Miami,Chickens-Layers,1600455,,
Huelskamp Farms LLC,2763 St. Peter Road,Ft. Recovery,Mercer,OH,45846,Recovery,05120101 - Upper Wabash,Chickens-Layers,217000,,
Hummel Hog Farm,13930 Rhynard-Fink Road,Rossburg,Darke,OH,45362,Allen,05120101 - Upper Wabash,Swine - over 55 lbs,3840,,
Indian Trail Pullets LLC,873 Reichert Road,Maria Stein,Mercer,OH,45860,Marion,05080001 - Upper Great Miami,Chicken-Pullets,610000,,
Irish Acres Sidney LLC,11503 SR 705,Sidney,Shelby,OH,45365,Turtle Creek,05080001 - Upper Great Miami,Dairy,2175,Slaughter-Feeder-Heifer,100
"J & K Swine Farm, LLC",11054 Michael Road,Ansonia,Darke,OH,45303,Brown,05080001 - Upper Great Miami,Swine - over 55 lbs,4900,,
J&A Poultry,8690 State Route 119,Maria Stein,Mercer,OH,45860,Marion,05120101 - Upper Wabash,Chickens-Layers,196000,,
J&K Boeckman,4924 Burrville Road,Coldwater,Mercer,OH,45828,Washington,05120101 - Upper Wabash,Chickens-Layers,183570,Beef,88
Jackson & Son,1048 ST RT 235N,DeGraff,Logan,OH,43318,Washington,05080001 - Upper Great Miami,Swine - over 55 lbs,8500,,
Jeff and Alan Ricker Swine,21150 Monticello-Spencerville Road,Spencerville,Van Wert,OH,45887,Jennings,04100007 - Auglaize,Swine - over 55 lbs,4900,Turkey,24000
Jeff and Kyle Fortkamp Poultry,385 New Weston-Fort Loramie Road,Ft. Recovery,Darke,OH,45846,Mississinawa,05120103 - Mississinewa,Chickens-Layers,340000,,
Joe Siefring,3241 Mercer-Darke Co Line Road,Ft. Recovery,Mercer,OH,45846,Granville,05120101 - Upper Wabash,Chickens-Layers,125000,,
"John Fleck & Sons, Inc.",3381 Harrison Rd.,Celina,Mercer,OH,43822,Franklin,05120101 - Upper Wabash,Beef,2070,Swine - over 55 lbs,5200
Jordan Farms,654 North State Line Road,Eaton,Preble,OH,45320,Jackson,05080002 - Lower Great Miami,Swine - over 55 lbs,7431,Swine - under 55 lbs,2800
JP Poultry,8704 St. Rt. 274,New Bremen,Mercer,OH,45869,Marion,05120101 - Upper Wabash,Beef,1085,Chickens-Layers,410000
JW Poultry,14126 Wilson Road,Fort Recovery,Darke,OH,45846,Mississinawa,05120103 - Mississinewa,Chickens-Layers,182000,,
"KFS Farms, LLC",1630 State Route 707,Rockford,Mercer,OH,45882,Black Creek,04100004 - St. Marys,Beef,820,Swine - over 55 lbs,7680
KMLS Farms LLC,3626 St. Rt. 65,Leipsic,Putnam,OH,45856,Sugar Creek,04100009 - Lower Maumee,Swine - over 55 lbs,3488,Swine - under 55 lbs,200
"Knapke Poultry Farm, LLC",9923 McGreevey Road,Versailles,Darke,OH,45380,Wayne,05080001 - Upper Great Miami,Chickens-Layers,525000,,
"Knapke Swine Farms, LLC",12054 Bey Rd.,Versailles,Darke,OH,45380,Wayne,05080001 - Upper Great Miami,Swine - over 55 lbs,7680,,
"Knob Hill Poultry, LLC",57890 Township Road 248,Newcomerstown,Coshocton,Ohio,43832,Adams,05040001 - Tuscarawas,Chickens-Broilers,350000,,
Kremer Pullet Farm,2341 State Route 127,St. Henry,Mercer,OH,45883,Granville,05120101 - Upper Wabash,Chicken-Pullets,223000,,
Landes Hog Farm,1125 Lewisburg Western Road,Lewsiurg,Preble,Ohio,45338,Monroe,05080002 - Lower Great Miami,Swine - over 55 lbs,4900,Beef,400
Langenkamp Poultry,2859 Koenig Road,St. Henry,Mercer,OH,45883,Recovery,05120101 - Upper Wabash,Chickens-Layers,205800,,
"LDT Keller Farms, LLC",841 Burkettsville-St. Henry Rd.,Ft. Recovery,Mercer,OH,45846,Granville,05120101 - Upper Wabash,Dairy,1030,Slaughter-Feeder-Heifer,587
Lepley Farms LLC,4084 Prairie Rd.,Bellevue,Huron,OH,44811,Lyme,04100011 - Sandusky,Beef,1200,,
"Liberty Egg Farms, Ltd.",10744 State Route 81,Ohio City,Van Wert,OH,45874,Liberty,04100004 - St. Marys,Chickens-Layers,207360,,
Linn Farms LLC,7018 Indiana Ohio Line Rd.,Celina,Mercer,OH,45822,Liberty,05120101 - Upper Wabash,Chickens-Layers,177600,,
Luginbill Swine Farm,3311 State Rt. 707,Rockford,Mercer,OH,45882,Dublin,04100004 - St. Marys,Swine - over 55 lbs,4800,,
M&M Farm,9317 Young Road,Union City,Darke,OH,45390,Jackson,05080001 - Upper Great Miami,Chicken-Pullets,672000,,
Mahoning Valley Race Course,777 Hollywood Ave.,Austintown,Mahoning,OH,44515,Austintown,05030103 - Mahoning,Horses,1052,,
Mark and Marie Osterholt Farm,1289 Burrville Road,Ft. Recovery,Mercer,OH,45846,Gibson,05120101 - Upper Wabash,Swine - over 55 lbs,2880,Turkey,6000
Marker Farm,90224 Blue Ridge Rd,Bloomingdale,Harrison,OH,43910,German,05030101 - Upper Ohio,Chickens-Broilers,165000,,
Marseilles Layer 6,20613 Township Road 103,Harpster,Wyandot,OH,43323,Marseilles,04100011 - Sandusky,Chickens-Layers,2104914,,
"Martig Farms, Inc.",10210 St. Rt. 534,Beloit,Mahoning,OH,44609,Goshen,05030103 - Mahoning,Dairy,1705,,
"Martin Road Farm, LLC (formerly Big Muddy Acres, Inc.",10500 Martin Rd.,Alliance,Mahoning,OH,44601,Smith,05030103 - Mahoning,Chickens-Broilers,135000,,
Massies Creek Sow Unit,9219 Columbus Xenia Road,South Solon,Clark,OH,43153,Madison,05090202 - Little Miami,Swine - over 55 lbs,6576,,
McChesney Enterprises Inc.,2636 Twp. Rd. 136,Edison,Morrow,OH,43320,Cardington,05060001 - Upper Scioto,Swine - over 55 lbs,9200,,
Meerland Dairy LLC,16039 Pleasant View Road,South Solon,Fayette,OH,45153,Jefferson,05060003 - Paint,Dairy,2500,,
Meiring Poultry Farm,2062 Watkins Rd.,Ft. Recovery,Mercer,OH,45846,Gibson,05120101 - Upper Wabash,Chicken-Pullets,450800,Swine - under 55 lbs,2000
"Miami Valley Dairy, LLC",9235 Wildman Road,South Charleston,Clark,OH,45368,Madison,05090202 - Little Miami,Dairy,1500,,
Miedema Dairy LLC,24376 St. Rt. 104,Circleville,Pickaway,OH,43113,Wayne,05060002 - Lower Scioto,Dairy,1500,,
"Mill Creek Dairy, LLC",20858 Co. Rd. P,Alvordton,Williams,OH,43501,Mill Creek,04100006 - Tiffin,Beef,3600,Dairy,1838
"Millco, Inc.",1752 Beamsville Union City Road,Union City,Darke,OH,45390,Jackson,05080001 - Upper Great Miami,Swine - over 55 lbs,3000,,
"Mills Dairy Farm, LLC",2116 S.R. 60,Perrysville,Ashland,OH,44864,Vermillion,05040002 - Mohican,Dairy,1200,Slaughter-Feeder-Heifer,970
MJ Homan Poultry Farms,5175 State Route 119,St. Henry,Mercer,OH,45883,Granville,05120101 - Upper Wabash,Chickens-Layers,250560,,
Mount Sterling Dairy (formerly Pro Milk Dairy,15679 Five Points Pike,Mt. Sterling,Pickaway,OH,43143,Darby,05060002 - Lower Scioto,Dairy,2270,,
MSB Farms,11607 Bloomdale Road,Wayne,Wood,OH,46451,Portage,04100010 - Cedar-Portage,Dairy,2960,,
Mt. Victory Layer 5,20449 County Rd. 245,Mt. Victory,Hardin,OH,43340,Hale,05060001 - Upper Scioto,Chickens-Layers,1947912,,
"Muhlenkamp Farms, Ltd.",5924 State Route 49,Ft. Recovery,Mercer,OH,45846,Washington,05120101 - Upper Wabash,Chickens-Layers,303000,,
MVP Dairy,6989 U.S. 33,Celina,Mercer,OH,45822,Center,04100004 - St. Marys,Dairy,4500,,
Napoleon Dairy,V 624 CR 16,Napoleon,Henry,OH,43545,Freedom,04100009 - Lower Maumee,Dairy,1900,,
"Natural Choice Dairy, LLC (formerly Van Deurzen Dairy, LLC)",2500 Rd. 110,Alger,Hardin,OH,45812,Marion,05060001 - Upper Scioto,Dairy,6995,,
"Nature Pure, LLC Farm 1 (pka Daylay Egg Farm 1)",26586 State Route 739,Raymond,Union,OH,43067,Union,05060001 - Upper Scioto,Chicken-Pullets,344000,,
Neal Kremer,9159 St. Rt. 118,Ansonia,Darke,OH,45303-9778,Brown,05080001 - Upper Great Miami,Swine - over 55 lbs,4400,,
"New Day Farms, Farm 3 (pka Daylay Farm 3)",27400 Coder-Holloway Rd.,West Mansfield,Union,OH,43358,York,05060001 - Upper Scioto,Chickens-Layers,740000,,
"New Day Farms, LLC - Pullet Farm (pka Daylay Pullet Farm)",783 County Rd. 142,West Mansfield,Logan,OH,43358,Perry,05060001 - Upper Scioto,Chicken-Pullets,470000,,
"New Day Farms, Mad River (pka Daylay Mad River Egg Farm)",27322 State Route 739,Raymond,Union,OH,43067,York,05060001 - Upper Scioto,Chickens-Layers,1600000,,
"New Madison Pullets, LLC",62 Billman Road,New Paris,Darke,OH,45437,Harrison,05080003 - Whitewater,Chicken-Pullets,2240000,,
Newport Dairy (Formerly Rising Sun Dairy),8500 Yankeetown-Chenoweth Road,London,Madison,OH,43140,Union,05060002 - Lower Scioto,Dairy,2006,,
Nofziger Livestock,18482 County Rd K,Wauseon,Fulton,Ohio,43567,Dover,04100006 - Tiffin,Swine - over 55 lbs,10000,,
"North Preston Farm, LLC",9635 Ravenna Road,Louisville,Stark,OH,44641,Marlboro,05040001 - Tuscarawas,Chickens-Broilers,170000,,
Northfield Park,10705 Northfield Rd,Northfield,Summit,OH,44067,Northfield,04110002 - Cuyahoga,Horses,812,,
Oakshade Dairy,15710 Co. Rd. 14,Lyons,Fulton,OH,43533,Chesterfield,04100002 - Raisin,Dairy,1750,,
Oberholtzer Hog Corporation,1053 Township Road 1806,Ashland,Ashland,OH,44805,Vermillion,05040002 - Mohican,Swine - over 55 lbs,3986,,
"Overholt Hog Farm, LLC",9335 Sparta Rd.,Fredericktown,Knox,OH,43019,Wayne,05040003 - Walhonding,Swine - over 55 lbs,7200,,
"Oyster Road Farm, LLC (formerly known as J & M Poultry, Inc.)",10450 Oyster Road,Alliance,Mahoning,OH,44601,Smith,05030103 - Mahoning,Chickens-Broilers,135000,,
Paul Fortkamp Farm,1191 Wendel Road,Ft. Recovery,Mercer,OH,45846,Recovery,05120101 - Upper Wabash,Chickens-Layers,457944,,
Paulding Dairy (formerly Schilderink Dairy),12593 Rd 71,Paulding,Paulding,OH,45879,Paulding,04100007 - Auglaize,Dairy,5410,,
"Pessefall Farms, LLC",12742 Road 191,Oakwood,Paulding,OH,45873,Brown,04100007 - Auglaize,Swine - over 55 lbs,5200,,
PGC Chesterfield Hogs,16300 Co Ro N,Wauseon,Fulton,OH,43567,Chesterfield,04100006 - Tiffin,Swine - over 55 lbs,4800,,
"Phat Chix Poultry, LLC",6260 Hudson Dr. SW,Navarre,Stark,OH,44662,Bethlehem,05040001 - Tuscarawas,Chickens-Broilers,55000,,
Pheasant Run,09504 Farmer-Mark Rd.,Mark Center,Defiance,OH,43536,Mark,04100005 - Upper Maumee,Swine - over 55 lbs,7350,,
"Pine Lawn Farms, LLC",9924 Lower Trail Road,Dundee,Tuscarawas,OH,44624,Wayne,05040001 - Tuscarawas,Chickens-Broilers,387500,,
"Pine Valley Ranch, LLC",21600-21700 Block of Ohio 116,Spencerville,Van Wert,OH,45887,Jennings,04100004 - St. Marys,Chickens-Layers,2200000,,
Pitstick Pork Farm,1146 Herr Road,Fairborn,Greene,OH,45324,Bath,05080001 - Upper Great Miami,Swine - over 55 lbs,4745,Swine - under 55 lbs,2400
Profit Family Pork,14380 Wren-Landeck Road,Van Wert,Van Wert,Ohio,45891,York,04100007 - Auglaize,Swine - over 55 lbs,4800,,
"R & S Farms Ag, LLC (formerly R & S Farms)",8139 State Route 274,Celina,Mercer,OH,45822,Marion,04100004 - St. Marys,Chickens-Layers,105000,,
"Ralph Jutte Farms, Inc.",492 Cummins Rd.,Fort Recovery,Mercer,OH,45846,Recovery,05120101 - Upper Wabash,Swine - over 55 lbs,3840,Turkey,3500
"RB Poultry, LLC",13859 Versailles-Yorkshire Rd.,Yorkshire,Darke,OH,45388-9702,Patterson,05080001 - Upper Great Miami,Chicken-Pullets,435000,,
Reyskens Dairy LLC,19480 Cygnet Road,Custar,Wood,OH,43511,Jackson,04100010 - Cedar-Portage,Dairy,2000,,
"Rindler Poultry, LLC",5478 Watkins Road,St. Henry,Mercer,OH,45883,Granville,05120101 - Upper Wabash,Chickens-Layers,2625000,,
Rine Farms,6719 McLarnan Rd.,Howard,Knox,OH,43028,Butler,05040004 - Muskinghum,Chickens-Broilers,225360,,
"Ringler Livestock, LLC",1297 Co. Rd. 159,Ashley,Morrow,OH,43003,Westfield,05060001 - Upper Scioto,Swine - over 55 lbs,7000,,
Riverbend Sow Complex,23378 SR 66,Oakwood,Paulding,OH,45873,Washington,04100007 - Auglaize,Swine - over 55 lbs,3500,,
"RK Swine (formerly D & N Swine Farm, LLC and Livingston...)",1828 Rossburg-Lightsville Rd,New Weston,Darke,OH,45348,Mississinawa,05120103 - Mississinewa,Swine - over 55 lbs,3840,,
"Robert Fleck and Sons, LLP",8933 State Route 274,New Bremen,Mercer,OH,45869,Marion,05120101 - Upper Wabash,Chickens-Layers,296880,Swine - over 55 lbs,1500
Roger and Lori Rader Farms,3141 TR 118,McComb,Hancock,OH,45858,Pleasant,04100010 - Cedar-Portage,Swine - over 55 lbs,4000,,
