,Number of animals
311,1599.6176210271306
312,1316.3266058748118
313,1285.6527660811148
314,2236.2054959936613
315,3440.235991763804
316,1114.6445762225435
317,463.2191750585184
318,2697.3160409213124
319,2462.801718634322
320,1867.1880641493472
321,1342.347520524522
322,2789.6627194279654
323,1066.7729784487542
324,2007.1162681643407
325,1786.2781488619553
326,3318.734450173349
327,1859.182098728853
328,1084.3721833743816
329,950.5904743413483
330,606.9699513803108
331,2208.4125732851526
332,3463.127797674328
333,2805.009002550795
334,1754.2153431368492
335,2427.2669466068232
336,4435.630024173694
337,554.90865325591
338,2334.0251463169107
339,1065.3806335772265
340,1307.686602997262
341,516.6217404292544
342,4535.918879598845
343,2308.012506325722
344,420.74333858948273
345,1554.0589454855228
346,2127.150273057524
347,2409.827409028849
348,3221.9245981875697
349,2934.9596276303805
350,2943.1689885113424
351,806.5965969388178
352,1965.7556845628699
353,2298.8914927791247
354,479.08221838586155
355,1991.6435887004836
356,504.33792477805565
357,853.1993254854904
358,2576.14277511185
359,1351.2917427641403
360,3091.7059025137983
361,2403.926294251886
362,928.8643591673405
363,1551.3938290587882
364,1911.8048405879806
365,1766.0197142538718
366,2600.4060888778286
367,1599.340585619492
368,712.432026998901
369,1680.3199178880839
370,2575.208768488775
371,336.19194693269986
372,3054.310796319153
373,2076.669824990595
374,2360.501103933957
375,1234.1616051490312
376,1993.0354864715273
377,1099.8889769169978
378,2943.3734855337034
379,1181.7875172793997
380,2342.9179516076133
381,3506.7291103898847
382,2116.361051056573
383,2805.687159513969
384,1950.4815296827048
385,3772.7704983243902
386,459.8664650441568
387,612.2900569053144
388,890.8403557702322
389,1528.9311786190144
390,2454.801279277925
391,2225.607641684812
392,2665.0559529075676
393,2999.7477011486676
394,3164.6992814847385
395,1548.5319145903416
396,2584.5744699913566
397,3038.581033197011
398,2552.0665468293337
399,2361.42623669467
400,2695.8488568185185
401,3602.162636040094
402,1666.4987613722276
403,2507.7086125287956
404,1203.1056986667368
405,932.5365490574237
406,2830.9593806890593
407,4323.079871337151
408,1947.6086729108695
409,1363.5738137420956
410,903.4220740720395
411,745.19737212388
412,3140.6371205617816
413,1668.3225484189672
414,2475.4966316604205
415,1695.651380949916
416,1488.6247489142188
417,1669.430989242574
418,2816.6829636728444
419,1062.3816652065216
420,790.7277241568415
421,1457.9608658750085
422,4111.948811543999
423,2673.998097457841
424,3283.06685063609
425,2120.4417053446823
426,2864.996080749242
427,1371.1647111176637
428,2636.107777557803
429,2660.3267700928773
430,2606.2596944370503
431,820.2179708352451
432,2470.805586624588
433,2716.1310921482536
434,1194.6328355157889
435,3956.4878701042244
436,1441.367287294806
437,664.3420155796913
438,2414.179764955288
439,795.9010449053892
440,1342.9820334594822
441,1101.039315521998
442,4292.959061568208
443,2076.8371103333147
444,2306.6024109165373
445,2346.0364441746483
446,3910.3659788383334
447,3126.541841609589
448,1203.0258885733201
449,888.4311335875076
450,1377.2914919079863
451,2285.4625680624276
452,2855.81699907864
453,1382.9322901616667
454,1508.608303090882
455,832.9340608249386
456,4287.922393987403
457,640.5512600113245
458,2302.0802979653286
459,3066.68231438128
460,890.248432257629
461,642.2416775667687
462,2615.9850461368533
463,604.9268959800991
464,653.8175802370565
465,2970.9407837929084
466,2169.6147385425256
467,1870.1130270426854
468,2803.3409200096166
469,2602.6398987501025
470,346.1855346028571
471,876.539102506063
472,3930.3277602437115
473,2954.609427217575
474,748.0596262710335
475,1522.9497260708115
476,1322.169146907207
477,2674.049443273587
478,1797.7661200874377
479,1753.023992237228
480,2310.4106607319304
481,1370.3034600421845
482,4014.8887486101594
483,2216.9275861635556
484,1634.0559265762515
485,3704.763049148424
486,2386.781772946492
487,739.6777837290346
488,2316.7172289307173
489,743.8825984000318
490,1875.95314432307
491,2109.66758054859
492,571.4016107968737
493,3003.0837171146795
494,723.1052052559917
495,1037.9558844430785
496,1453.4751556113295
497,1871.079235633395
498,1332.0690246531315
499,597.6232689945073
500,2296.2608553370765
501,3167.5875492751115
502,753.7270643615384
503,506.21805752751425
504,445.7007048012051
505,2813.101183826916
506,1283.9108634395673
507,1690.881483185129
508,1845.6456904318652
509,3908.0614586013485
510,2770.8987669826865
511,2895.4317853570674
512,3064.8013608553074
513,4405.477572793217
514,3897.138736368108
515,1462.4324325307978
516,2234.398451668516
517,6303.686617015504
518,3322.0186041986717
519,1257.9620243207964
520,1987.8851653813167
521,609.5167020746377
522,846.1975571528446
523,2257.0650005698253
524,1332.3788643554471
525,610.873853165924
526,1746.390321083567
527,695.2445941018675
528,2053.6232076123692
529,2424.6429134889795
530,573.1373434021591
531,570.002298414402
532,2539.3427690298777
533,3196.4378970408843
534,1657.3834347723318
535,2408.866040231489
536,1487.1037915233765
537,3638.3724499174123
538,793.1101865044681
539,442.1091077345802
540,784.1696838255797
541,1271.7809860167615
542,688.8596478065729
543,2139.4659874459385
544,1262.176892969263
545,2339.6594413725325
546,1830.9082042069804
547,327.9738026641313
548,2728.137089944389
549,3035.954087790225
550,2183.0919139570633
551,696.8324031043687
552,1453.7878127968922
553,2518.0685306375617
554,3908.8937663350944
555,2098.346416208185
556,3722.707363742297
557,1680.5817856505362
558,952.8522690284135
559,822.9572156784673
560,1627.2203523400428
561,3116.032405007508
562,880.561909084653
563,983.7582760370843
564,1364.4171491125933
565,1676.2018477515314
566,2311.8858696307907
567,862.4082182986901
568,1516.9710789229812
569,965.134850225292
570,2509.413027898419
571,1124.994103738394
572,1224.420599060798
573,3512.8414858736264
574,391.9084558140661
575,1403.033732943142
576,2810.612695569865
577,1570.9887786153029
578,2019.1490863804308
579,390.10225241777283
580,1068.6215592954309
581,1454.5933622211612
582,744.0503977770975
583,808.0170110609754
584,1917.4385302077962
585,2534.723072326635
586,2508.7189964364616
587,3654.743074952802
588,2627.034996578077
589,1742.1027369541089
590,3436.4743679133157
591,2618.0517493823436
592,2312.1964149571622
593,4368.632285094259
594,517.0344490447178
595,3375.0824573794457
596,2587.9095746128532
597,2152.0054705887214
598,1391.2400833658153
599,1642.6188048637182
600,3805.0256147729647
601,2016.6687431602265
602,645.0480788893504
603,2985.7440399669176
604,1942.0038503832145
605,2525.428760672764
606,1682.7732515898572
607,890.1101877442885
608,2830.984824095884
609,502.91602877618925
610,1705.9929108083709
611,2551.36754603393
612,1079.746450908471
613,1321.363491700784
614,2794.0753537003898
615,1946.5144115977596
616,567.7157621632007
617,1039.3905009808025
618,1333.1812416411333
619,3270.7706011033306
620,3818.669176610413
621,3546.345737876534
622,1553.8830777213427
623,3221.7920120613276
624,2225.0196352696976
625,973.4648849171231
626,1012.5608738709715
627,2969.593505920217
628,1329.067498687584
629,3103.0387805439
630,884.3934490559279
631,790.6669628953696
632,1253.3745273847417
633,952.6620309324835
634,578.2291918757139
635,488.6515615748947
636,1613.148788351456
637,1608.331973283012
638,2725.39043056438
639,2985.5760384349396
640,2607.728687350811
641,3703.4361844449923
642,2717.4751513571164
643,1240.6016277233612
644,3136.2968301559163
645,3740.396350043555
646,1902.3238326848948
647,3029.6290364557294
648,1671.0484317912305
649,4597.125227105475
650,687.3668727558676
651,532.7868733084556
652,2565.0853323980173
653,652.336334622213
654,834.2366290343598
655,2172.061063559515
656,1893.8685378502857
657,2928.5030743463344
658,1532.372728392394
659,3228.4443792226243
660,438.0082529997724
661,1529.9897616557048
662,2015.5360186570388
663,2371.13626636924
664,2291.9235524958253
665,1462.4885920184752
666,1196.1260089957416
667,1127.060148051533
668,3486.785413815748
669,3098.5975407863452
670,355.38822856570397
671,1590.9731241843608
672,1842.8065719379185
673,394.4338347527337
674,3097.8324780129797
675,2945.2730675640287
676,1802.3582942829503
677,1527.8769692122366
678,2900.945897982467
679,477.25145251696307
680,2375.457511653065
681,1169.7260991406383
682,1418.2738140845258
683,566.9721101473556
684,2815.6728134491623
685,2031.5908241211314
686,1672.7880000816092
687,1264.6253667096112
688,2010.9228793684877
689,1229.7871969980608
690,3464.6440215505463
691,1128.9614828716524
692,1455.1392578803086
693,1831.233421653185
694,359.8469076573865
695,1454.3010063574573
696,346.3705181922848
697,960.4788161154324
