"Michigan NPDES CAFO (General, Individual, and No Potential to Discharge) Permits as of Dec. 31, 2016",,,,,,,,,,,,,,,,,,,,,
CAFO Number,Permit Number,Permittee Name,Site Name*,Site Address 1,Site Address 2,Site City,Site State,Site Zip Code, Dairy/Dry Cows/Heifers , Beef Cattle/Veal Calves , Swine (All wgts.) , Layers/Broilers/Pullets , Turkeys , Total Animals ," Total CAFO waste,
gals. (liquid) "," Subsidies
1995-2014 "," MI Enforcement Actions
through 2016 ",County,Watershed,"Congressional
District",Additional Names/Previous Owners and Subsidy/MI Enforcement Action Recipients
22,MIG010075,"Boersen Farms Ag, LLC",Boersen Farms Ag-CAFO,64233 Baseline Rd.,NULL,South Haven,MI,49090,,,"  4,900 ",,,"  4,900 ","  1,700,000 "," $ 3,249,108 ",0,Van Buren,SE Lake Michigan,6,"Hinz Farms LLC, Stamp Farms LLC, Stamp Farms"
23,MIG010067,"Boersen Farms, Inc.",Boerson Farms,6241 Ransom St.,NULL,N. Zeeland,MI,49464,,,"  10,180 ",,,"  10,180 ","  1,733,000 "," $ 498,289 ",0,Allegan,SE Lake Michigan,2,
24,MIG010222,Scot Boyd,Boyd Farms-CAFO,2501 70th Ave,NULL,Evart,MI,49631,,,"  4,677 ",,,"  4,677 ","  1,000,000 ",,0,Osceola,NE Lake Michigan,4,
25,MIG010120,Jason Bradford,Bradford Dairy-CAFO,11435 Sparta Avenue,NULL,Sparta,MI,49345,"  2,250 ",,,,,"  2,250 ","  19,282,530 "," $ 1,394,751 ",3,Kent,SE Lake Michigan,3,"Bradford Farms, Inc."
26,MIG010173,Briggs Farms Inc.,Briggs Farms-CAFO,581 N. Tutle Rd.,NULL,Scotville,MI,49454,"  2,700 ",,,,,"  2,700 ","  13,733,735 "," $ 1,251,674 ",3,Mason,NE Lake Michigan,2,
27,MIG010089,Brook View Dairy,Brook View Dairy-CAFO,10560 Freeport Avenue,NULL,Freeport,MI,49325,"  2,500 ",,,,,"  2,500 ","  24,838,800 "," $ 994,094 ",5,Kent,SE Lake Michigan,3,"Brook View Farms Inc., Brook View Farms Incorporated, Freeport Dairy, Freeport Dairy, LLC,  Scenic View Freeport Dairy, Scenic View Freeport Dairy LLC, Scenic View Dry"
28,MIG010037,Buerge Farm,Buerge Farm-CAFO,4862  West Hayes Road,NULL,Middleton,MI,48856,,,"  8,640 ",,,"  8,640 ","  4,889,700 "," $ 129,160 ",0,Gratiot,SE Lake Michigan,4,"Boehs Farm, Regal Boehs Farm"
29,MIG010031,Burns Poultry Farms Inc,Burns Poultry Farms-CAFO,9922 Irish Road,NULL,Millington,MI,48746,,,,"  600,000 ",,"  600,000 ","  420,723 "," $ 19,296 ",0,Tuscola,Saginaw,5,"Burns Poultry Farm, Inc."
30,MI0057539,"Camden Dairy, LLC",Camden Dairy-CAFO,11774 Meridian Road,NULL,Waldron,MI,49288,  -   ,,,,,  -   ,"  1,215,220 "," $ 70,160 ",4,Hillsdale,W Lake Erie,7,"Camden Dairy LLC, John Vanderhoff, Southern Michigan Dairies III, Southern Michigan Dairies LLC , Waldron Dairy"
31,MIG010205,Chad Minus,Car Min Vu Dairy-CAFO,2965 Howell Rd,NULL,Webberville,MI,48892,"  1,000 ",,,,,"  1,000 ","  13,338,554 "," $ 541,906 ",0,Ingham,SE Lake Michigan,8,
32,MIG010087,Cary Dairy Farm Inc.,Cary Dairy Farm Inc-CAFO,6717 Poorman Rd.,6717 Poorman Road,Battle Creek,MI,49017,"  2,003 ",,,,,"  2,003 ","  14,711,747 "," $ 714,377 ",2,Calhoun,SE Lake Michigan,3,Cary Dairy Farm
33,MIG010053,Matt Cary,Carys Pioneer Farm Inc-CAFO,3977 North Bliss Road,NULL,Alma,MI,48801,,"  2,000 ",,,,"  2,000 ","  3,507,480 "," $ 1,576,837 ",  1 ,Gratiot,Saginaw,4,Cary Pioneer Farms
34,MIG010164,Jane and Michael Casassa,Casassa Hog Farm - CAFO,9254 Fergus Road,NULL,Saint Charles,MI,48655,,  180 ,"  5,400 ",,,"  5,580 ","  2,295,960 "," $ 685,269 ",1,Saginaw,Saginaw,4,"Casassa Farms, Inc."
35,MIG010255,"Lee Carte, Centerwood Farms, LLC",Centerwood Farms LLC - CAFO,3623 Pierce Road,NULL,Remus,MI,49340,,,"  5,000 ",,,"  5,000 ","  1,838,135 "," $ 290,185 ",0,Mecosta,Saginaw,4,Carte Farms Inc.
36,MIG010230,Central Michigan Milk Production,Central MI Milk Prod-CAFO,10203 S Wise Rd,NULL,St Louis,MI,48880,"  1,035 ",,,,,"  1,035 ","  9,000,000 ",,0,Isabella,Saginaw,4,
37,MIG010026,Randy Cuthbert,Churchill Finishers-CAFO,54501 Griffis Road,NULL,Cassopolis,MI,49031,,,"  7,000 ",,,"  7,000 ","  2,599,150 ",,2,Cass,SE Lake Michigan,6,
38,MIG010183,Kris Duflo,Circle K Family Farms-CAFO,9517 East McKenna Road,NULL,Hubbardston,MI,48845,,,"  8,500 ",,,"  8,500 ","  6,200,000 ",,1,Ionia,SE Lake Michigan,3,
39,MIG010094,JP Clover,Clover Family Farms-CAFO,2412 Stage Road,NULL,Ionia,MI,48846,,,"  4,200 ",,,"  4,200 ","  1,297,500 ",,2,Ionia,SE Lake Michigan,3,
40,MIG010068,Steve Koeman,Contract Finishers Inc-CAFO,3675 58th St.,NULL,Holland,MI,49423,,,"  4,000 ",,,"  4,000 ","  1,075,800 "," $ 629,247 ",0,Allegan,SE Lake Michigan,6,
41,MIG010184,William Courter,Courter Farm West-CAFO,10068 Luce Rd,NULL,Alma,MI,48801,,"  4,500 ",,,,"  4,500 ","  5,240,964 "," $ 358,125 ",1,Gratiot,Saginaw,4,"William Courter Farms, Inc."
42,MIG010025,William Courter,Courter Farms East-CAFO,10068 Luce Rd,NULL,Alma,MI,48801,,"  4,500 ",,,,"  4,500 ","  5,240,964 ",,1,Gratiot,Saginaw,4,
43,MIG010188,"Cow Pleasant Dairy, Inc.",Cow Pleasant Dairy-CAFO,5731 N. Winn Rd.,NULL,Weidman,MI,48893,"  3,609 ",,,,,"  3,609 ","  37,800,000 "," $ 37,974 ",3,Isabella,Saginaw,4,"Cow Pleasant Dairy, Inc."
44,MINPTD010,"Crockery Creek Turkey Farm, LLC1, 2",Crockery Creek-74th-CAFO,9495 West 74th Street,NULL,Fremont,MI,49412,,,,,"  74,000 ","  74,000 ","  1,542,169 "," $ 314,471 ",0,Newaygo,NE Lake Michigan,2,
45,MINPTD004,"Crockery Creek Turkey Farm, LLC1, 2",Crockery Creek-80th-CAFO,9303 West 80th Street,Brooder Barns,Holton,MI,49425,,,,,"  72,000 ","  72,000 ","  289,157 ",,0,Newaygo,NE Lake Michigan,2,
46,MIG010162,Crooked Creek Farm,Crooked Creek Farm-CAFO,361 Stringtown Road,NULL,Quincy,MI,49082,,,"  4,320 ",,,"  4,320 ","  2,030,552 ",,4,Branch,SE Lake Michigan,7,VanHoosear Farms
47,MIG010071,Rudolf deJong,Crossroads Dairy-CAFO,86 141st Street,NULL,Wayland,MI,49348,"  3,001 ",,,,,"  3,001 ","  16,556,108 ",,0,Allegan,SE Lake Michigan,6,"Crossroads Dairy LLC, Crossroads Dairy Expansion"
48,MIG010240,"Daniel Briggs, President",Dandy Farms-CAFO,3493 Dewey Road,NULL,Fountain,MI,49410,"  4,200 ",,,,,"  4,200 ","  1,465,000 ",,0,Mason,NE Lake Michigan,1,
49,MIG010073,Terry Davis,Davis Farms-CAFO,67480 Hebron Rd.,NULL,White Pigeon,MI,49099,,,"  14,400 ",,,"  14,400 ","  6,304,900 "," $ 496,401 ",1,Cass,SE Lake Michigan,6,
50,MIG010097,Bart DeSaegher,De Saegher Dairy-CAFO,8068 West Buchanan Road,NULL,Middleton,MI,48856,"  5,509 ",,,,,"  5,509 ","  39,046,988 "," $ 401,422 ",0,Gratiot,SE Lake Michigan,4,DeSaegher Dairy Incorporated
51,MIG010143,de Vor Dairy,de Vor Dairy-CAFO,3157 Decker Road,NULL,Decker,MI,48426,"  3,450 ",,,,,"  3,450 ","  28,588,800 "," $ 34,150 ",10,Sanilac,Saginaw,10,
52,MINPTD003,Vern & Steve De Weerdt2,De Weerdt Poultry-CAFO,4980 140th Avenue,NULL,Holland,MI,49423,,,,"  377,000 ",,"  377,000 ","  963,855 "," $ 171,812 ",0,Allegan,SE Lake Michigan,6,De Weerdt Poultry Farm LLC
53,MI0059948,Deer Creek Farms Inc.,Deer Creek Poultry Farm-CAFO,22660 Olnhausen Rd,NULL,Sturgis,MI,49091,,,,"  270,000 ",,"  270,000 ","  722,892 "," $ 304,535 ",0,St. Joseph,SE Lake Michigan,6,
54,MIG010046,Rene Dekker,Dekker Dairy LLC-CAFO,5121 S. Bad Axe Rd,NULL,Ubly,MI,48475,"  1,250 ",,,,,"  1,250 ","  16,582,301 "," $ 204,184 ",1,Huron,SW Lake Huron,10,Rene Dekker Dairy
55,MIG010195,Deluur Dairy Farm,Deluur Dairy Farm-CAFO,"Main Farm: 4275 Deckerville Rd.   Goetze Rd Farm:  751 Goetze Rd, Carsonville, MI  48419",NULL,Deckerville,MI,48427,"  3,062 ",,,,,"  3,062 ","  28,648,193 ",,3,Sanilac,SW Lake Huron,10,"Goetze Road Farm, Home Farm"
56,MIG010112,"den Dulk Dairy Farm, LLC",den Dulk Dairy Farm LLC-CAFO,5134 Wunsch Road,NULL,Ravenna,MI,49451,"  3,355 ",,,,,"  3,355 ","  34,602,410 "," $ 157,568 ",3,Muskegon,SE Lake Michigan,2,den Dulk Dairy
57,MIG010082,DeYoung Pork,DeYoung Pork,381 114th Ave.,NULL,Plainwell,MI,49080,,,"  15,300 ",,,"  15,300 ","  8,635,500 "," $ 189,343 ",0,Allegan,SE Lake Michigan,6,de Young Hog Farm LLC
58,MIG010110,Double Eagle Dairy,Double Eagle Dairy - CAFO,5742 Pendell Road,NULL,Middleton,MI,48856,"  4,250 ",,,,,"  4,250 ","  56,187,952 "," $ 504,831 ",2,Gratiot,SE Lake Michigan,4,
59,MIG010017,Double Quad Farms,Double Quad Farms-CAFO,9755 E Polk Rd,0.42 miles north of Polk Road,Wheeler,MI,48826,,,"  10,000 ",,,"  10,000 ","  4,100,000 ", $ 978 ,0,Gratiot,Saginaw,4,"Double Quad Emerson, Double Quad Farms - Emerson"
60,MIG010047,Denis Burke,Dunganstown Dairy - CAFO,5401 Dodge Rd,NULL,Cass City,MI,48726,"  2,090 ",,,,,"  2,090 ","  25,011,850 "," $ 7,471 ",3,Tuscola,SW Lake Huron,10,
61,MIG010096,Dutch Meadows Dairy,Dutch Meadows Dairy-CAFO,3427 Wacousta Rd,NULL,"St, Johns",MI,48879,"  3,250 ",,,,,"  3,250 ","  21,732,530 "," $ 272,339 ",2,Clinton,SE Lake Michigan,4,Dutch  Meadows Dairy LLC
62,MINPTD008,"DW Turkey Farm, LLC2",DW Turkey Farm-Fillmore-CAFO,16304 Fillmore St.,NULL,West Olive,MI,49460,,,,,"  60,350 ","  60,350 ","  594,458 "," $ 375,000 ",0,Ottawa,SE Lake Michigan,2,Fillmore St Turkey Farm
63,MINPTD007,"DW Turkey Farm, LLC2",DW Turkey-Land of Turkey-CAFO,13581 Stanton Street,NULL,West Olive,MI,49460,,,,,"  50,750 ","  50,750 ","  563,133 ",,0,Ottawa,SE Lake Michigan,2,Land of Turkey Farm
64,MINPTD005,"DW Turkey Farm, LLC2",DW Turkey-Port Sheldon-CAFO,11591 Port Sheldon St.,NULL,Holland,MI,49424,,,,,"  60,350 ","  60,350 ","  594,458 ",,0,Ottawa,SE Lake Michigan,2,Port Sheldon St Turkey Farm
65,MINPTD006,"DW Turkey Farm, LLC2",DW Turkey-Turkey Town-CAFO,14998 Taylor Street,NULL,West Olive,MI,49460,,,,,"  60,350 ","  60,350 ","  594,458 ",,0,Ottawa,SE Lake Michigan,2,Turkey Town Turkey Farm
66,MIG010039,Steve and Paul Schulte,Dynasty Dairy-CAFO,9175 Toppin Road,NULL,Harbor Beach,MI,48441,"  1,280 ",,,,,"  1,280 ","  11,052,124 "," $ 449,546 ",5,Huron,SW Lake Huron,10,"S&M Dairy, S&M Dairy, Inc."
67,MIG010100,EB Ridge Dairy,EB Ridge Dairy-CAFO,4100 East Ridge Road,NULL,Elsie,MI,48831,"  3,450 ",,,,,"  3,450 ","  27,700,000 "," $ 22,681 ",4,Clinton,SE Lake Michigan,4,
68,MIG010212,Arie deJong,Edge Wood Dairy LLC-CAFO,11420 East R Avenue,NULL,Scotts,MI,49088,"  1,800 ",,,,,"  1,800 ","  18,409,000 ",,0,Kalamazoo,SE Lake Michigan,6,"Arie DeJong-Edgewood Dairy, Edgewood Dairy"
69,MIG010186,Matt & Erin Ehinger,Ehinger Farm-CAFO,3982 Lincoln Rd.,NULL,Holland,MI,49423,,,"  4,550 ",,,"  4,550 ","  1,057,500 ",,0,Allegan,SE Lake Michigan,6,Matt & Erin Ehinger Farms
70,MIG010242,Fairgrove Farms Incorporated,Fairgrove Farms-CAFO,70480 Stubey Rd.,NULL,Sturgis,MI,49091,,,"  4,000 ",,,"  4,000 ","  321,162 "," $ 974,830 ",0,St. Joseph,SE Lake Michigan,6,"Fairgrove Farms Inc., Active Feed-McKinley"
71,MIG010038,Joseph Maust,Farm Crest Foods-CAFO,6761 Haist Rd,6761 Haist Road,Pigeon,MI,48755,,,,"  1,012,485 ",,"  1,012,485 ","  4,431,205 "," $ 79,294 ",0,Huron,SW Lake Huron,10,"Active Feed-McKinley, Farm Crest Foods-McKinley"
72,MIG010014,Finish Line Farms,Finish Line Farms-CAFO,Polk Rd between County Line and Mason Rd.,"Section 25, Lafayette Township, Gratiot County",Wheeler,MI,48637,,,"  5,200 ",,,"  5,200 ","  2,600,000 ",,0,Gratiot,Saginaw,4,
73,MIG010012,Five Star Dairy,Five Star Dairy-CAFO,6682 E. Kinde Rd,NULL,Port Hope,MI,48468,  970 ,,,,,  970 ,"  8,628,474 "," $ 244,648 ",4,Huron,SW Lake Huron,10,
74,MIG010202,Kevin McNeilly,Fork Pork-CAFO,23124 30th Avenue,NULL,Sears,MI,49679,,,"  4,400 ",,,"  4,400 ","  1,640,350 "," $ 18,044 ",3,Mecosta,Saginaw,4,
75,MIG010027,Ed Franklin,Franklin Farms-CAFO,4120 Maple Valley Rd,NULL,Marlette,MI,48453,"  2,180 ",,,,,"  2,180 ","  6,925,500 "," $ 5,476 ",0,Sanilac,Saginaw,10,Ed Franklin
76,MIG010002,Brad Brown,Fresh Air Farms-CAFO,west side Stephens Road,between Decker and Sugar Grove,Custer,MI,49405,,,"  4,000 ",,,"  4,000 ","  1,368,700 "," $ 124,408 ",0,Mason,NE Lake Michigan,1,"Bradley Brown, Fresh Air Farms LLC"
77,MIG010251,"Tom Gagnon, Gagnon Hog Farm LLC",Gagnon Hog Farm LLC-CAFO,7822 Croswell Ave.,NULL,Newaygo,MI,49337,,,"  4,200 ",,,"  4,200 ","  1,424,160 ", $ 234 ,0,Newaygo,NE Lake Michigan,2,
78,MIG010093,Gerald Gallagher,Gallagher-CAFO,1221 Osborn Rd,NULL,Sumner,MI,48889,,,"  4,800 ",,,"  4,800 ","  2,000,000 ",,4,Gratiot,SE Lake Michigan,4,Gallagher Farms
79,MI0058696,"GDW Farms, LLC",GDW Farms-CAFO,11754 New Holland Street,NULL,Holland,MI,49424,,,,,"  55,509 ","  55,509 ","  1,450,361 "," $ 3,940 ",0,Ottawa,SE Lake Michigan,2,"DW Turkey Farm LLC, DW Turkey-New Holland, GDW Farms, New Holland Turkey Farm"
80,MIG010102,Gernaat Dairy LLC,Gernaat Dairy LLC-CAFO,6790 East Mulder Road,NULL,Falmouth,MI,49632,"  2,925 ",,,,,"  2,925 ","  21,769,601 "," $ 980,266 ",2,Missaukee,NE Lake Michigan,4,Gernaat Family Farms
81,MIG010043,Geert Van den Goor,Goma Dairy Farm LLC-CAFO,3981 Aitken Rd,NULL,Marlette,MI,48453,"  4,290 ",,,,,"  4,290 ","  36,100,000 "," $ 290,043 ",2,Sanilac,Saginaw,10,Goma Dairy
82,MIG010008,"Keith Hanenburg, dba KH Farms",Grand River Grain-CAFO,9997 Leonard Street,NULL,Coopersville,MI,49404,,,"  5,000 ",,,"  5,000 ","  2,277,203 "," $ 80,118 ",3,Ottawa,SE Lake Michigan,2,K H Farms
83,MIG010107,Green Meadow Farms,Green Meadow Farms 1-CAFO,6400 Hollister Road,NULL,Elsie,MI,48831,"  2,951 ",,,,,"  2,951 ","  13,684,337 "," $ 7,655 ",0,Clinton,SE Lake Michigan,4,"Farm 1 and Heifer Complex, Green Meadow Farms"
84,MIG010019,Green Meadow Farms,Green Meadow Farms 2 & 3-CAFO,9697 W Riley Rd,NULL,Elsie,MI,48831,"  3,300 ",,,,,"  3,300 ","  31,095,181 "," $ 1,921,454 ",1,Shiawassee,SE Lake Michigan,4,"Farms 2 & 3, Green Meadow, Inc.,  Farms 2 & 3"
85,MIG010051,Halbert Dairy LLC,Halbert Dairy-CAFO,15080 M-37 Hwy,NULL,Battle Creek,MI,49017,"  3,180 ",,,,,"  3,180 ","  26,052,448 "," $ 1,902,546 ",0,Barry,SE Lake Michigan,3,"Halbert Dairy Farm LLC, Halbert Dairy"
86,MIG010192,Halliwill Farms,Halliwill Farms-CAFO,2450 Wilkinson Rd,NULL,Adrian,MI,49221,"  2,300 ",,,,,"  2,300 ","  5,527,711 "," $ 1,088,132 ",4,Lenawee,W Lake Erie,7,
87,MI0057536,"Hartland Farms, Incorporated",Hartland Farms-CAFO,1580 Hughes Highway,NULL,Clayton,MI,49235,"  1,900 ",,,,,"  1,900 ","  11,602,410 "," $ 1,454,713 ",5,Lenawee,W Lake Erie,7,"B & T Family Limited Partnership, Hart Brothers, L. L. C., Tiger Family Limited Partnershp"
88,MIG010069,Ron Klein,Harvest Hill Farm-CAFO,4438 140th Ave.,NULL,Holland,MI,49423,,,"  3,610 ",,,"  3,610 ","  449,550 ",,0,Allegan,SE Lake Michigan,6,
89,MIG010042,Hass Feedlot Home Farm,Hass Feedlot Home Farm-CAFO,775 Carpenter Rd,NULL,Bad Axe,MI,48413,,"  2,900 ",,,,"  2,900 ","  4,555,325 ",,0,Huron,SW Lake Huron,10,
90,MIG010040,Hass Feedlot-2,Hass Feedlot-2-CAFO,2258 Thomas Rd,NULL,Bad Axe,MI,48413,,  950 ,,,,  950 ,"  3,559 ",,3,Huron,SW Lake Huron,10,
91,MIG010134,Heasley Farm,Heasley Farm - CAFO,4550 28th Street,NULL,Byron Center,MI,49315,,,"  4,100 ",,,"  4,100 ","  1,300,000 ",,0,Allegan,SE Lake Michigan,6,Heasley Feed and Seed LLC
92,MIG010108,Heinze Farms,Heinze Farms-CAFO,8568 Holland Road,NULL,Six Lakes,MI,48886,,,"  3,000 ",,,"  3,000 ","  1,200,000 ",,2,Montcalm,SE Lake Michigan,4,Heinze Pork
93,MI0058428,Herbruck Poultry Ranch,Herbruck Poultry Ranch-CAFO,6425 W. Grand River Ave.,NULL,Saranac,MI,48881,,,,"  8,528,664 ",,"  8,528,664 ","  22,725,375 "," $ 430,865 ",0,Ionia,SE Lake Michigan,3,"Herbruck Poultry Ranch Incorporated, Herbruck Poultry Saranac"
94,MIG010200,Hickory Gables Inc.,Hickory Gables-CAFO,9175 Cressey Rd.,NULL,Hickory Corners,MI,49060,"  4,132 ",,,,,"  4,132 ","  35,440,663 "," $ 261,059 ",0,Barry,SE Lake Michigan,3,"Hickory Gables, Inc."
95,MIG010261,"Brian Brunink, Hidden Hills Dairy LLC",Hidden Hills Dairy LLC - CAFO,10570 South Brown Road,NULL,McBain,MI,49657,"  1,230 ",,,,,"  1,230 ","  12,773,631 "," $ 660,228 ",0,Missaukee,NE Lake Michigan,4,
96,MIG010229,High Lean Pork,High Lean Pork 3-Hoover-CAFO,5333 Hoover Road,NULL,Barryton,MI,49305,,,"  2,490 ",,,"  2,490 ","  6,541,200 ",,2,Mecosta,Saginaw,4,High Lean Pork #3
97,MIG010018,Highland Dairy,Highland Dairy-CAFO,8549 Stein Road,NULL,Sebewaing,MI,48759,"  3,065 ",,,,,"  3,065 ","  28,138,457 "," $ 131,133 ",3,Huron,SW Lake Huron,10,
98,MIG010163,Hillhaven Farms Inc,Hillhaven Farms Inc-CAFO,4196 E.. McBride Rd,NULL,Edmore,MI,48829,"  1,000 ",,,,,"  1,000 ","  10,160,190 "," $ 562,294 ",2,Montcalm,SE Lake Michigan,4,
99,MIG010207,Hillside Farms-116th St,Hillside Farms-116th-CAFO,6470 116th St.,NULL,Fennville,MI,49408,,,"  7,700 ",,,"  7,700 ","  2,376,834 ",,3,Allegan,SE Lake Michigan,6,
100,MIG010130,Mike Geerlings,Hillside Farms-Overisel CAFO,4195 142nd Avenue,NULL,Hamilton,MI,49419,,,"  8,000 ",,,"  8,000 ","  2,280,330 ",,5,Allegan,SE Lake Michigan,6,
101,MI0058109,Jan Vanderhoff,Hoffland Dairy,9864 Haley Rd.,NULL,Clayton,MI,49235,"  1,960 ",,,,,"  1,960 ","  16,545,783 "," $ 353,618 ",3,Lenawee,W Lake Erie,7,Vanderhoff Haley Dairy
102,MIG010119,Craig Jipping,Hogquest Farms LLC-CAFO,5221 136th Ave.,PO Box 32,Hamilton,MI,49419,,,"  8,000 ",,,"  8,000 ","  2,156,000 "," $ 963,962 ",2,Allegan,SE Lake Michigan,6,
103,MIG010167,Holloo Farms LLC,Holloo Farms-CAFO,20849 F Drive S,NULL,Marshall,MI,49068,"  2,420 ",,,,,"  2,420 ","  16,077,711 "," $ 489,307 ",1,Calhoun,SE Lake Michigan,3,
104,MIG010084,Hooks Farms,Hooks Dairy-CAFO,6650 N. Wisner Road,NULL,Breckenridge,MI,48615,"  2,250 ",,,,,"  2,250 ","  21,219,639 "," $ 553,387 ",0,Gratiot,Saginaw,4,Hooks Farms
