,Number of animals
378,538.9638246897262
379,860.6898465403668
380,653.0083269057257
381,562.7507872697706
382,1090.1418353190559
383,772.6837327166838
384,465.4612688579744
385,633.2975209487768
386,1164.4395746162172
387,959.6539085807002
388,873.0338419685382
389,582.7253578458683
390,532.8362553739183
391,1403.222809953749
392,882.5429219997216
393,478.3716900840358
394,524.9227371582651
395,367.43418198743944
396,514.4734365236293
397,664.345105448275
398,437.00512387577237
399,321.8982805846768
400,834.5283675167727
401,1485.392630843953
402,707.084386416326
403,908.4856099056207
404,667.1753390965396
405,1203.0526616357402
406,886.3604363894399
407,792.6536419042651
408,633.7669681756416
409,1179.2207527589771
410,668.8035944739524
411,1670.3290678119113
412,750.9672832503992
413,619.4554775048084
414,633.2903514045424
415,430.63165760646496
416,980.6370258000192
417,1127.1995143835625
418,1267.0879891126015
419,628.9518377565742
420,1111.6461356529667
421,1350.6387147495072
422,1429.786264861921
423,401.55134408076697
424,574.3444757723722
425,884.2439850499752
426,472.7480544699164
427,1294.0171824781814
428,411.5348141396223
429,1041.1342365645187
430,938.5193573932737
431,917.0548165773374
432,1107.2428392800239
433,1279.0738564615767
434,860.516536119213
435,472.24276741823496
436,509.13773041214364
437,868.9958886065399
438,1367.2740106608185
439,845.048979718045
440,584.504743784006
441,433.20332726828264
442,601.3201559517145
443,991.1285519573004
444,1288.804338456805
445,2086.5796446446043
446,648.7242399362037
447,1104.4942150692448
448,925.7521914937688
449,838.3570634280208
450,583.4578505857644
451,1300.0290739665884
452,544.853836162561
453,312.63157407385864
454,1065.1283091932253
455,495.61412939034597
456,820.9758572905341
457,514.9931067909206
458,1322.7059421943486
459,618.5648497049285
460,985.2845588510346
461,692.8630892164865
462,1108.93397269023
463,572.6393804569427
464,789.2507588984627
465,1128.0317150118708
466,307.16256337138225
467,457.94818533518435
468,650.1199935573998
469,785.2134762117558
470,905.4539113781366
471,611.0052052676316
472,1472.4221967139338
473,647.6368799493916
474,714.0608768773922
475,892.6306667231461
476,641.5799459657521
477,916.3026781994837
478,981.1360211635954
479,579.6429201654119
480,314.2615522877889
481,487.1261773635545
482,814.2480012126384
483,684.1653323683001
484,788.1072592926188
485,524.283251404675
486,1087.0279125369807
487,1166.351216478795
488,907.3389254747736
489,823.7566009625253
490,1055.751997764613
491,1073.6701143712985
492,766.059819573399
493,1248.5045889808223
494,708.7180669813528
495,971.2580365112304
496,1308.541954776851
497,1108.5754482026057
498,556.2147529733868
499,1777.3973401144176
500,560.88150473625
501,326.49672696076067
502,963.0076084584406
503,415.2591994958137
504,1012.183553209776
505,382.34386607040375
506,1120.0150887686593
507,542.4850900401137
508,481.88527129834034
509,430.427720552168
510,857.8950173549647
511,1562.147376629494
512,628.8529179712817
513,1153.6179455067456
514,1743.552087149084
515,924.1920507263018
516,612.0136530490428
517,1357.4331552071508
518,861.1887412579475
519,1106.937749014036
520,492.1198749425339
521,1095.6566705777573
522,688.1312497222035
523,886.8902854268913
524,1287.7856490374998
525,1630.9626413874669
526,373.9297100644663
527,625.7245493232275
528,779.6316148424121
529,1161.9592616020643
530,1258.2371373184633
531,785.4677596659809
532,876.8049519339836
533,675.5537973792983
534,1287.0460468908727
535,376.630529709848
536,686.8933494350488
537,870.9351144936917
538,1228.9968550456797
539,670.4474069120467
540,1139.0095295895576
541,577.4504411833632
542,572.5683495030577
543,676.3439778115408
544,551.9894868328234
545,1017.9920008364628
546,992.8838316281848
547,1716.550298112149
548,394.85516262154346
549,1598.6096263828056
550,902.3543576133618
551,698.3816953304348
552,1164.331545814894
553,663.5679344148783
554,631.5308264785531
555,1231.129058645166
556,583.7624345287634
557,934.8874780815057
558,924.1961712699613
559,494.13071342141643
560,1155.5905825461382
561,393.2215657573887
562,1517.453795524501
563,1452.9007269532403
564,765.4872969198191
565,1405.6659441360532
566,480.5116002321875
567,1520.5224030761487
568,467.3836578844924
569,809.1203780401986
570,981.985857967963
571,980.465161919345
572,588.7026957523517
573,1115.948385841069
574,520.4121203461568
575,361.37584146577495
576,880.5905764501184
577,1470.1570046941117
578,403.28092097267194
579,1153.040743684025
580,1022.0902517112698
581,629.9664606822911
582,499.00733432951677
583,680.5405572875613
584,1199.7789441687773
585,647.7368295163071
