PRIMARY_FACILITY_ID,FACILITY_NAME,PERMIT_NO,CLIENT_ID,CLIENT_NAME,MUNICIPALITY,COUNTY,REGION,PERMIT_TYPE,FEE_CATEGORY,LATEST_PERMIT_ISSUE_DATE,AVAILABLE_LAND,TOTAL_AEUS,LOCATION_ADDRESS,LOCATION_ADDRESS_CITY_STATE_ZIP,ANIMAL_TYPES
564215,WIDE AWAKE FARM CAFO,PA0088595,263132,WIDE AWAKE FARMS PARTNERSHIP,Monroe Twp,Bedford,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,06/22/2016,112.90,555.62,488 JAY RD,"CLEARVILLE, PA 15535-6201",Swine - Sow and litter - 470 lbs
564215,WIDE AWAKE FARM CAFO,PA0088595,263132,WIDE AWAKE FARMS PARTNERSHIP,Monroe Twp,Bedford,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,06/22/2016,112.90,555.62,488 JAY RD,"CLEARVILLE, PA 15535-6201",Swine - Boar - 450 lbs
569664,FINE SWINE FARM CAFO,PA0088706,334370,FINE SWINE LLC,West Cocalico Twp,Lancaster,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,11/14/2018,1,591.80,415 FOREST RD,"DENVER, PA 17517-9482",Swine - Gestating Sow - 400 lbs
569664,FINE SWINE FARM CAFO,PA0088706,334370,FINE SWINE LLC,West Cocalico Twp,Lancaster,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,11/14/2018,1,591.80,415 FOREST RD,"DENVER, PA 17517-9482",Swine - Sow and litter - 470 lbs
569664,FINE SWINE FARM CAFO,PA0088706,334370,FINE SWINE LLC,West Cocalico Twp,Lancaster,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,11/14/2018,1,591.80,415 FOREST RD,"DENVER, PA 17517-9482",Swine - Boar - 450 lbs
568959,ASPEN PERRY HOG FARM CAFO,PA0088846,158117,HERSHEY AG,Oliver Twp,Perry,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,12/01/2017,85.90,1865.10,1027 OAK HALL RD,"NEWPORT, PA 17074",Swine - Nursery Pig - 30 lbs (15-45)
568959,ASPEN PERRY HOG FARM CAFO,PA0088846,158117,HERSHEY AG,Oliver Twp,Perry,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,12/01/2017,85.90,1865.10,1027 OAK HALL RD,"NEWPORT, PA 17074",Swine - Gestating Sow - 400 lbs
569550,GRAYWOOD FARMS CAFO,PA0088889,157565,GRAYWOOD FARMS LLC,Fulton Twp,Lancaster,SCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,09/06/2018,823.10,1828.06,225 MASON DIXON RD,"PEACH BOTTOM, PA 17563-9406",Dairy - Holstein/Brown Swiss - Cow - 1300 lbs
569550,GRAYWOOD FARMS CAFO,PA0088889,157565,GRAYWOOD FARMS LLC,Fulton Twp,Lancaster,SCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,09/06/2018,823.10,1828.06,225 MASON DIXON RD,"PEACH BOTTOM, PA 17563-9406",Dairy - Holstein/Brown Swiss - Heifer (1-2 yr) - 900 lbs (650-1150)
569550,GRAYWOOD FARMS CAFO,PA0088889,157565,GRAYWOOD FARMS LLC,Fulton Twp,Lancaster,SCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,09/06/2018,823.10,1828.06,225 MASON DIXON RD,"PEACH BOTTOM, PA 17563-9406",Dairy - Holstein/Brown Swiss - Calf (0-1 yr) - 375 lbs (100-650)
648506,HISSONG DAIRY FARM CAFO,PA0088897,146624,HISSONG FARMSTEAD INC,Montgomery Twp,Franklin,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,10/12/2017,1521.70,1896.30,5492 BUCHANAN TRL W,"GREENCASTLE, PA 17225-9382",Dairy - Holstein/Brown Swiss - Cow - 1300 lbs
648506,HISSONG DAIRY FARM CAFO,PA0088897,146624,HISSONG FARMSTEAD INC,Montgomery Twp,Franklin,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,10/12/2017,1521.70,1896.30,5492 BUCHANAN TRL W,"GREENCASTLE, PA 17225-9382",Dairy - Holstein/Brown Swiss - Heifer (1-2 yr) - 900 lbs (650-1150)
648506,HISSONG DAIRY FARM CAFO,PA0088897,146624,HISSONG FARMSTEAD INC,Montgomery Twp,Franklin,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,10/12/2017,1521.70,1896.30,5492 BUCHANAN TRL W,"GREENCASTLE, PA 17225-9382",Dairy - Holstein/Brown Swiss - Calf (0-1 yr) - 375 lbs (100-650)
569084,KEATING FARM CAFO,PA0088927,158980,KEATING JOHN W JR,Southampton Twp,Bedford,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,08/29/2019,126.60,612.04,1620 BEANS COVE RD,"CLEARVILLE, PA 15535-8037",Beef - Calf (0-8 mos) - 300 lbs (100-500)
569084,KEATING FARM CAFO,PA0088927,158980,KEATING JOHN W JR,Southampton Twp,Bedford,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,08/29/2019,126.60,612.04,1620 BEANS COVE RD,"CLEARVILLE, PA 15535-8037",Beef - Finishing (8-24 mos) - 950 lbs (500-1400)
569084,KEATING FARM CAFO,PA0088927,158980,KEATING JOHN W JR,Southampton Twp,Bedford,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,08/29/2019,126.60,612.04,1620 BEANS COVE RD,"CLEARVILLE, PA 15535-8037",Beef - Cow - 1400 lbs
569084,KEATING FARM CAFO,PA0088927,158980,KEATING JOHN W JR,Southampton Twp,Bedford,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,08/29/2019,126.60,612.04,1620 BEANS COVE RD,"CLEARVILLE, PA 15535-8037",Beef - Bull - 1500
569084,KEATING FARM CAFO,PA0088927,158980,KEATING JOHN W JR,Southampton Twp,Bedford,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,08/29/2019,126.60,612.04,1620 BEANS COVE RD,"CLEARVILLE, PA 15535-8037",Swine - Grow finish - 155 lbs (45-265)
565301,SCHRACK FARMS PARTNERSHIP CAFO,PA0228401,122703,SCHRACK FARMS PARTNERSHIP,Logan Twp,Clinton,NCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,04/26/2019,2092.90,2097.33,860 W VALLEY RD,"LOGANTON, PA 17747-8935",Dairy - Holstein/Brown Swiss - Cow - 1300 lbs
565301,SCHRACK FARMS PARTNERSHIP CAFO,PA0228401,122703,SCHRACK FARMS PARTNERSHIP,Logan Twp,Clinton,NCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,04/26/2019,2092.90,2097.33,860 W VALLEY RD,"LOGANTON, PA 17747-8935",Dairy - Holstein/Brown Swiss - Heifer (1-2 yr) - 900 lbs (650-1150)
565301,SCHRACK FARMS PARTNERSHIP CAFO,PA0228401,122703,SCHRACK FARMS PARTNERSHIP,Logan Twp,Clinton,NCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,04/26/2019,2092.90,2097.33,860 W VALLEY RD,"LOGANTON, PA 17747-8935",Dairy - Holstein/Brown Swiss - Calf (0-1 yr) - 375 lbs (100-650)
565301,SCHRACK FARMS PARTNERSHIP CAFO,PA0228401,122703,SCHRACK FARMS PARTNERSHIP,Logan Twp,Clinton,NCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,04/26/2019,2092.90,2097.33,860 W VALLEY RD,"LOGANTON, PA 17747-8935",Beef - Finishing (8-24 mos) - 950 lbs (500-1400)
565301,SCHRACK FARMS PARTNERSHIP CAFO,PA0228401,122703,SCHRACK FARMS PARTNERSHIP,Logan Twp,Clinton,NCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,04/26/2019,2092.90,2097.33,860 W VALLEY RD,"LOGANTON, PA 17747-8935",Swine - Grow finish - 155 lbs (45-265)
565301,SCHRACK FARMS PARTNERSHIP CAFO,PA0228401,122703,SCHRACK FARMS PARTNERSHIP,Logan Twp,Clinton,NCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,04/26/2019,2092.90,2097.33,860 W VALLEY RD,"LOGANTON, PA 17747-8935",Swine - Sow and litter - 470 lbs
565301,SCHRACK FARMS PARTNERSHIP CAFO,PA0228401,122703,SCHRACK FARMS PARTNERSHIP,Logan Twp,Clinton,NCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,04/26/2019,2092.90,2097.33,860 W VALLEY RD,"LOGANTON, PA 17747-8935","Sheep, larger breed - Ewe - 175 lbs"
565301,SCHRACK FARMS PARTNERSHIP CAFO,PA0228401,122703,SCHRACK FARMS PARTNERSHIP,Logan Twp,Clinton,NCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,04/26/2019,2092.90,2097.33,860 W VALLEY RD,"LOGANTON, PA 17747-8935","Goats, meat - Doe - 150 lbs "
565301,SCHRACK FARMS PARTNERSHIP CAFO,PA0228401,122703,SCHRACK FARMS PARTNERSHIP,Logan Twp,Clinton,NCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,04/26/2019,2092.90,2097.33,860 W VALLEY RD,"LOGANTON, PA 17747-8935","Goats, dairy - Kid (0-1 yr) - 45 lbs (5-85)"
565301,SCHRACK FARMS PARTNERSHIP CAFO,PA0228401,122703,SCHRACK FARMS PARTNERSHIP,Logan Twp,Clinton,NCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,04/26/2019,2092.90,2097.33,860 W VALLEY RD,"LOGANTON, PA 17747-8935",Light Horses & Mules - Mature - 1100 lbs
565419,PAUL DOTTERER & SONS INC CAFO OPER,PA0228443,158045,PAUL DOTTERER & SONS INC,Porter Twp,Clinton,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,04/06/2017,3050,2031.91,410 KRYDER RD,"MILL HALL, PA 17751-8938",Dairy - Holstein/Brown Swiss - Cow - 1300 lbs
565419,PAUL DOTTERER & SONS INC CAFO OPER,PA0228443,158045,PAUL DOTTERER & SONS INC,Porter Twp,Clinton,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,04/06/2017,3050,2031.91,410 KRYDER RD,"MILL HALL, PA 17751-8938",Dairy - Holstein/Brown Swiss - Heifer (1-2 yr) - 900 lbs (650-1150)
565419,PAUL DOTTERER & SONS INC CAFO OPER,PA0228443,158045,PAUL DOTTERER & SONS INC,Porter Twp,Clinton,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,04/06/2017,3050,2031.91,410 KRYDER RD,"MILL HALL, PA 17751-8938",Dairy - Holstein/Brown Swiss - Calf (0-1 yr) - 375 lbs (100-650)
645951,BISHCROFT CAFO,PA0228770,204750,BISHCROFT FARM LLC,Liberty Twp,Tioga,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,11/04/2013,1477.20,1516.04,2334 FARM RD,"ROARING BRANCH, PA 17765-8959",Dairy - Holstein/Brown Swiss - Cow - 1300 lbs
645951,BISHCROFT CAFO,PA0228770,204750,BISHCROFT FARM LLC,Liberty Twp,Tioga,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,11/04/2013,1477.20,1516.04,2334 FARM RD,"ROARING BRANCH, PA 17765-8959",Dairy - Holstein/Brown Swiss - Heifer (1-2 yr) - 900 lbs (650-1150)
645951,BISHCROFT CAFO,PA0228770,204750,BISHCROFT FARM LLC,Liberty Twp,Tioga,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,11/04/2013,1477.20,1516.04,2334 FARM RD,"ROARING BRANCH, PA 17765-8959",Dairy - Holstein/Brown Swiss - Calf (0-1 yr) - 375 lbs (100-650)
691813,JIM KURTZ FARM CAFO,PA0228982,247841,KURTZ JAMES,West Buffalo Twp,Union,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,09/10/2018,16.89,735.59,1070 GRAND VALLEY RD,"MIFFLINBURG, PA 17844-7960",Beef - Calf (0-8 mos) - 300 lbs (100-500)
691813,JIM KURTZ FARM CAFO,PA0228982,247841,KURTZ JAMES,West Buffalo Twp,Union,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,09/10/2018,16.89,735.59,1070 GRAND VALLEY RD,"MIFFLINBURG, PA 17844-7960",Beef - Finishing (8-24 mos) - 950 lbs (500-1400)
691813,JIM KURTZ FARM CAFO,PA0228982,247841,KURTZ JAMES,West Buffalo Twp,Union,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,09/10/2018,16.89,735.59,1070 GRAND VALLEY RD,"MIFFLINBURG, PA 17844-7960",Swine - Grow finish - 155 lbs (45-265)
687397,MURMAC FARMS CAFO,PA0229067,223030,MURMAC FARMS LLC,Spring Twp,Centre,NCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,03/05/2014,1137,2723.50,2336 ZION RD,"BELLEFONTE, PA 16823-6704",Dairy - Holstein/Brown Swiss - Cow - 1300 lbs
687397,MURMAC FARMS CAFO,PA0229067,223030,MURMAC FARMS LLC,Spring Twp,Centre,NCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,03/05/2014,1137,2723.50,2336 ZION RD,"BELLEFONTE, PA 16823-6704",Dairy - Holstein/Brown Swiss - Heifer (1-2 yr) - 900 lbs (650-1150)
689442,GNH FARMS LLC CAFO,PA0229091,253889,GREG A HALADAY,Cleveland Twp,Columbia,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,05/08/2015,495.50,622.11,224 WHITE CHURCH RD,"ELYSBURG, PA 17824-9161",Beef - Finishing (8-24 mos) - 950 lbs (500-1400)
689442,GNH FARMS LLC CAFO,PA0229091,253889,GREG A HALADAY,Cleveland Twp,Columbia,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,05/08/2015,495.50,622.11,224 WHITE CHURCH RD,"ELYSBURG, PA 17824-9161",Swine - Wean to finish - 140 lbs (15-265)
689442,GNH FARMS LLC CAFO,PA0229091,253889,GREG A HALADAY,Cleveland Twp,Columbia,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,05/08/2015,495.50,622.11,224 WHITE CHURCH RD,"ELYSBURG, PA 17824-9161",Swine - Grow finish - 155 lbs (45-265)
689442,GNH FARMS LLC CAFO,PA0229091,253889,GREG A HALADAY,Cleveland Twp,Columbia,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,05/08/2015,495.50,622.11,224 WHITE CHURCH RD,"ELYSBURG, PA 17824-9161",Poultry - Chickens - Layer (18-105 wks) - 3.15 lbs (weighted avg)
689442,GNH FARMS LLC CAFO,PA0229091,253889,GREG A HALADAY,Cleveland Twp,Columbia,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,05/08/2015,495.50,622.11,224 WHITE CHURCH RD,"ELYSBURG, PA 17824-9161","Sheep, larger breed - Lamb (0-1 yr) - 80 lbs (10-150)"
689442,GNH FARMS LLC CAFO,PA0229091,253889,GREG A HALADAY,Cleveland Twp,Columbia,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,05/08/2015,495.50,622.11,224 WHITE CHURCH RD,"ELYSBURG, PA 17824-9161",Light Horses & Mules - Mature - 1100 lbs
689723,NEWSWANGER CAFO GARREAU FARM,PA0229105,253920,AMOS NEWSWANGER,Buffalo Twp,Union,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,05/23/2013,0.01,571.95,318 BLACK RUN RD,"LEWISBURG, PA 17837-7627",Swine - Grow finish - 155 lbs (45-265)
689723,NEWSWANGER CAFO GARREAU FARM,PA0229105,253920,AMOS NEWSWANGER,Buffalo Twp,Union,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,05/23/2013,0.01,571.95,318 BLACK RUN RD,"LEWISBURG, PA 17837-7627","Poultry - Chickens - Broiler, large (0-53 days) - 3.0 lbs (0.09-6.0)"
725076,COTNER FARMS INC,PA0229121,328314,COTNER FARMS INC,Rush Twp,Northumberland,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,09/27/2016,753,1856.78,127 RUSHTOWN RD,"DANVILLE, PA 17821-7605",Poultry - Chickens - Layer (18-65 wks) - 3.10 lbs (2.75-3.45)
696496,FOUR WINDS DAIRY CAFO,PA0229156,220372,FOUR WINDS DAIRY LLC,Harrison Twp,Potter,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,07/26/2013,1924.80,2136.50,400 VANETTEN ROAD,"ULYSSES, PA 16948",Dairy - Holstein/Brown Swiss - Cow - 1300 lbs
696496,FOUR WINDS DAIRY CAFO,PA0229156,220372,FOUR WINDS DAIRY LLC,Harrison Twp,Potter,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,07/26/2013,1924.80,2136.50,400 VANETTEN ROAD,"ULYSSES, PA 16948",Dairy - Holstein/Brown Swiss - Heifer (1-2 yr) - 900 lbs (650-1150)
696496,FOUR WINDS DAIRY CAFO,PA0229156,220372,FOUR WINDS DAIRY LLC,Harrison Twp,Potter,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,07/26/2013,1924.80,2136.50,400 VANETTEN ROAD,"ULYSSES, PA 16948",Dairy - Holstein/Brown Swiss - Calf (0-1 yr) - 375 lbs (100-650)
742161,STILL WATERS FARM,PA0232327,348389,GROFF ALAN D & GROFF DOUGLAS E,White Deer Twp,Union,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,04/25/2019,82.50,1509.75,190 BERKEY LN,"NEW COLUMBIA, PA 17856-7002",Beef - Calf (0-8 mos) - 300 lbs (100-500)
742161,STILL WATERS FARM,PA0232327,348389,GROFF ALAN D & GROFF DOUGLAS E,White Deer Twp,Union,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,04/25/2019,82.50,1509.75,190 BERKEY LN,"NEW COLUMBIA, PA 17856-7002",Beef - Finishing (8-24 mos) - 950 lbs (500-1400)
742161,STILL WATERS FARM,PA0232327,348389,GROFF ALAN D & GROFF DOUGLAS E,White Deer Twp,Union,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,04/25/2019,82.50,1509.75,190 BERKEY LN,"NEW COLUMBIA, PA 17856-7002",Beef - Cow - 1400 lbs
742161,STILL WATERS FARM,PA0232327,348389,GROFF ALAN D & GROFF DOUGLAS E,White Deer Twp,Union,NCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,04/25/2019,82.50,1509.75,190 BERKEY LN,"NEW COLUMBIA, PA 17856-7002",Swine - Grow finish - 155 lbs (45-265)
742161,STILL WATERS FARM,PA0232327,348389,GROFF ALAN D & GROFF DOUGLAS E,White Deer Twp,Union,NCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,04/25/2019,82.50,1509.75,190 BERKEY LN,"NEW COLUMBIA, PA 17856-7002",Beef - Calf (0-8 mos) - 300 lbs (100-500)
742161,STILL WATERS FARM,PA0232327,348389,GROFF ALAN D & GROFF DOUGLAS E,White Deer Twp,Union,NCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,04/25/2019,82.50,1509.75,190 BERKEY LN,"NEW COLUMBIA, PA 17856-7002",Beef - Finishing (8-24 mos) - 950 lbs (500-1400)
742161,STILL WATERS FARM,PA0232327,348389,GROFF ALAN D & GROFF DOUGLAS E,White Deer Twp,Union,NCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,04/25/2019,82.50,1509.75,190 BERKEY LN,"NEW COLUMBIA, PA 17856-7002",Beef - Cow - 1400 lbs
742161,STILL WATERS FARM,PA0232327,348389,GROFF ALAN D & GROFF DOUGLAS E,White Deer Twp,Union,NCRO,"Water Quality Mgmt Part II, Manure Storage Fac for CAFO",CAFO Individual Permit,04/25/2019,82.50,1509.75,190 BERKEY LN,"NEW COLUMBIA, PA 17856-7002",Swine - Grow finish - 155 lbs (45-265)
