,Address,Animal Units,Electricity incentive (USD/year),Manure generated (kg/year),Mass TP recovered (kg/year),NPV (USD),Net revenue (USD/year),Pcredits (USD/year),Phosphorus released generated (kg/year),Process capital cost (USD),Process operation cost (USD/year),Process operation cost amortized (USD/year),Profitable,Recommended,Struvite revenues (USD/year),Total incentives (USD/year),latitude,longitude,tech_selected
10,11691 East Walton Road Shepherd 48883,490.0,0.0,5112069.55,3001.542307551911,-59787.08082066509,-68795.90875758263,0.0,4089.65564,1049140.9709612187,31607.392578552644,81566.48643384877,No,No,12770.577676266143,0.0,43.5275628,-84.61018729999998,MULTIFORM
11,"15585 68th Avenue, 17228 72nd Ave. Coopersville 49404",420.0,0.0,4381773.9,2572.75054933021,-59408.52179346446,-66145.99556717827,0.0,3505.41912,1049140.9709612187,27133.111148681695,77092.20500397783,No,No,10946.209436799556,0.0,43.05158400000001,-85.9618689,MULTIFORM
12,1483 Lee Road Saranac 48881,1350.0,0.0,14084273.250000002,8269.55533713282,-64437.94886912986,-101351.98509683614,0.0,11267.4186,1049140.9709612187,86577.1358598243,136536.22971512043,No,No,35184.24461828428,0.0,42.9658667,-85.2343412,MULTIFORM
13,5721 E. Sanilac Rd. Kingston 48741,1450.0,0.0,15127552.75,8882.114991735249,-65232.7361524374,-105485.56283187267,0.0,12102.0422,1053430.7707055672,93112.67775865365,143276.0477922521,No,No,37790.48496037942,0.0,43.41281250000001,-83.19581490000002,MULTIFORM
14,5510 North McClelland Road Breckenridge 48615,4000.0,0.0,41731180.0,24502.38618409724,-113247.72882102526,-232341.90648343693,0.0,33384.943999999996,1681176.5857912193,256535.4922724222,336591.5201672422,No,No,104249.61368380528,0.0,43.2118297,-84.46794670000001,MULTIFORM
15,1484 North VanDyke Road Bad Axe 48413,6381.0,0.0,66571664.89500001,39087.431560181125,-126783.71875764974,-323368.30744273553,0.0,53257.33191600002,1692353.1715824383,409084.2574059955,489672.50367182586,No,No,166304.1962290904,0.0,43.8378289,-82.99973050000001,MULTIFORM
16,8244 West 48th Street Fremont 49412,1500.0,0.0,20738588.25,13064.119741667888,-68993.06154656752,-131807.8405907835,0.0,16590.870600000002,1053430.7707055672,136815.56246995236,186978.93250355078,No,No,55171.091912767275,0.0,43.463711,-86.002505,MULTIFORM
17,Andrews University Berrien Springs 49104,890.0,0.0,12304895.695000002,7751.377713389615,-64020.96474127701,-98433.09620186611,0.0,9843.916556000002,1049140.9709612187,81208.8502148119,131167.94407010803,No,No,32734.847868241915,0.0,41.9646127,-86.35946609999998,MULTIFORM
18,3201 W. Soper Rd Bad Axe 48413,4850.0,0.0,67054768.675000004,42240.65383139285,-80399.15343209993,-95124.68349722016,0.0,53643.81494000001,1403008.1715824383,179110.68953312805,245920.60246562512,No,No,150795.91896840496,0.0,43.79173970000001,-83.10849449999998,NURESYS
19,2780 Fairgrove Rd Fairgrove 48733,650.0,0.0,8986721.575000001,5661.1185547227515,-62164.65990235126,-85438.96232938593,0.0,7189.377260000001,1049140.9709612187,59387.341636288955,109346.43549158509,No,No,23907.47316219915,0.0,43.52375989999999,-83.45724840000003,MULTIFORM
20,NW Corner of Stoney Corners Road & Turnerville Mcbain 49657,2275.0,0.0,31453525.5125,19813.91494152963,-75198.40191970114,-174329.9515075015,0.0,25162.82041,1056176.5857912193,207711.9844422833,258006.10757519852,No,No,83676.15606769701,0.0,44.1934439,-85.14813840000002,MULTIFORM
21,10960 Cadmus Clayton 49235,520.0,0.0,7189377.260000001,4528.894843778203,-61159.16144793316,-78400.47314845918,0.0,5751.501808000001,1049140.9709612187,47567.35782292237,97526.4516782185,No,No,19125.978529759326,0.0,41.873454,-84.232376,MULTIFORM
22,8085 Filion Road Bay Port 48720,1277.0,0.0,17655451.4635,11121.92060673993,-67268.24496706568,-119734.12453427068,0.0,14124.3611708,1053430.7707055672,116539.74408240811,166703.11411600656,No,No,46968.98958173587,0.0,43.8867559,-83.3049803,MULTIFORM
23,18080 80th Avenue Coopersville 49404,3450.0,0.0,47698752.975,30047.475405836147,-118300.1664691186,-267708.97002009046,0.0,38159.002380000005,1681176.5857912193,314546.45352463523,394602.4814194552,No,No,126893.51139936471,0.0,43.080102,-85.9819036,MULTIFORM
24,9119 N Baldwin Rd St. Louis 48880,1194.0,0.0,16507916.247000003,10399.039314367637,-66626.27287693719,-115240.31990337133,0.0,13206.332997600002,1053430.7707055672,108993.13903233562,159156.50906593405,No,No,43916.18916256274,0.0,43.4241947,-84.54830199999998,MULTIFORM
25,7927 West Stoney Corners Road McBain 49657,1826.0,0.0,25245774.762999997,15903.388432190379,-71514.54228610832,-149458.20576756913,0.0,20196.619810399996,1053430.7707055672,166456.44495577936,216619.8149893778,No,No,67161.60922180867,0.0,44.1937594,-85.20377579999997,MULTIFORM
26,2400 Thelen Rd Fowler 48835,3000.0,0.0,41477176.5,26128.239483335776,-114819.59489613284,-243344.96900919016,0.0,33181.741200000004,1681176.5857912193,273631.1249399047,353687.1528347247,No,No,110342.18382553455,0.0,42.9841028,-84.7107754,MULTIFORM
27,14501 Steward Rd Hudson 49247,1700.0,0.0,23503733.35,14806.002373890271,-70539.9822456723,-142636.285484517,0.0,18802.98668,1053430.7707055672,155000.15295205478,205163.5229856532,No,No,62527.237501136224,0.0,41.9061266,-84.37160940000003,MULTIFORM
28,2124 S. Grove Rd. St. Johns 48879,1250.0,0.0,17282156.874999996,10886.766451389905,-67059.41067268654,-118272.28447361667,0.0,13825.725499999999,1053430.7707055672,114084.82436732428,164248.19440092274,No,No,45975.90992730605,0.0,42.98319739999999,-84.6041426,MULTIFORM
29,7300 Brown Rd Croswell 48422,730.0,0.0,10092779.615000002,6357.871607611707,-62783.42818199318,-89770.34028687933,0.0,8074.223692000002,1049140.9709612187,66661.17782912994,116620.27168442607,No,No,26849.931397546738,0.0,43.2174312,-82.7258377,MULTIFORM
30,11435 Sparta Avenue Sparta 49345,2250.0,0.0,31107882.37500001,19596.179612501837,-75005.03683231302,-172976.39589578487,0.0,24886.305900000007,1056176.5857912193,205438.91063202056,255733.03376493577,No,No,82756.63786915092,0.0,43.1733868,-85.71536390000001,MULTIFORM
31,581 N. Tutle Rd. Scotville 49454,2700.0,0.0,37329458.85,23515.41553500221,-112499.21384747566,-227102.30166858993,0.0,29863.56708,1681176.5857912193,246354.23921675104,326410.26711157104,No,No,99307.96544298109,0.0,43.9629212,-86.24037390000002,MULTIFORM
32,10560 Freeport Avenue Freeport 49325,2500.0,0.0,34564313.74999999,21773.53290277981,-110952.2931483709,-216273.85677485645,0.0,27651.450999999997,1681176.5857912193,228169.64873464857,308225.67662946857,No,No,91951.8198546121,0.0,42.7739653,-85.31311079999998,MULTIFORM
33,2965 Howell Rd Webberville 48892,1000.0,0.0,13825725.500000002,8709.413161111926,-64871.771125784624,-104388.74089341953,0.0,11060.580400000003,1049140.9709612187,91210.37497996824,141169.4688352644,No,No,36780.727941844845,0.0,42.6011129,-84.2437082,MULTIFORM
34,6717 Poorman Rd. Battle Creek 49017,2003.0,0.0,27692928.1765,17444.954561707185,-72883.56710481606,-159041.37949852325,0.0,22154.342541200003,1053430.7707055672,182549.80753244003,232713.17756603844,No,No,73671.7980675152,0.0,42.40194870000001,-85.1554381,MULTIFORM
35,10203 S Wise Rd St Louis 48880,1035.0,0.0,14309625.8925,9014.242621750844,-65142.48224812797,-106283.71874982287,0.0,11447.700714,1049140.9709612187,94392.67831433615,144351.77216963228,No,No,38068.0534198094,0.0,43.4914506,-84.64968459999999,MULTIFORM
36,5731 N. Winn Rd. Weidman 48893,3609.0,0.0,49897043.329500005,31432.272098452948,-78749.21929641804,-87300.67314452,0.0,39917.6346636,1391831.5857912193,133233.79746075984,199511.49202224647,No,No,112210.81887772649,0.0,43.72238220000001,-84.91096069999998,NURESYS
37,86 141st Street Wayland 49348,3001.0,0.0,41491002.2255,26136.948896496888,-114827.32949962838,-243399.11123365886,0.0,33192.801780400005,1681176.5857912193,273722.04789231526,353778.0757871352,No,No,110378.96455347638,0.0,42.7177098,-85.5541791,MULTIFORM
38,3493 Dewey Road Fountain 49410,4200.0,0.0,58068047.1,36579.53527667009,-124101.11909076152,-308315.63837159093,0.0,46454.43768,1681176.5857912193,382738.66783251934,462794.6957273393,No,No,154479.05735574834,0.0,44.0183639,-86.1932077,MULTIFORM
39,8068 West Buchanan Road Middleton 48856,5509.0,0.0,76165921.77950001,47980.15710456562,-146325.81043010735,-12067.71248327216,0.0,60932.7374236,3036638.8815824385,70090.89121096984,214692.74271489546,No,No,202625.0302316233,0.0,43.24494179999999,-84.7600436,CRYSTALACTOR
40,3157 Decker Road Decker 48426,3450.0,0.0,47698752.975,30047.475405836147,-118300.1664691186,-267708.97002009046,0.0,38159.002380000005,1681176.5857912193,314546.45352463523,394602.4814194552,No,No,126893.51139936471,0.0,43.5069909,-83.05266209999998,MULTIFORM
41,5121 S. Bad Axe Rd Ubly 48475,1250.0,0.0,17282156.874999996,10886.766451389905,-67059.41067268654,-118272.28447361667,0.0,13825.725499999999,1053430.7707055672,114084.82436732428,164248.19440092274,No,No,45975.90992730605,0.0,43.6932722,-82.99813309999998,MULTIFORM
42,"Main Farm: 4275 Deckerville Rd.   Goetze Rd Farm:  751 Goetze Rd, Carsonville, MI  48419 Deckerville 48427",3062.0,0.0,42334371.481,26668.223099324714,-78312.69517622482,-84245.00430316728,0.0,33867.4971848,1391831.5857912193,113170.8363151355,179448.53087662213,No,No,95203.52657345484,0.0,43.52789170000001,-82.6986245,NURESYS
43,5134 Wunsch Road Ravenna 49451,3355.0,0.0,46385309.052499995,29220.081155530508,-117565.37913704384,-262565.4586955671,0.0,37108.247242,1681176.5857912193,305908.77304563654,385964.8009404565,No,No,123399.34224488941,0.0,43.1599175,-85.9764793,MULTIFORM
44,5742 Pendell Road Middleton 48856,4250.0,0.0,58759333.375,37015.00593472568,-124487.84926553773,-311022.7495950244,0.0,47007.4667,1681176.5857912193,387284.815453045,467340.843347865,No,No,156318.09375284056,0.0,43.2159619,-84.73055240000002,MULTIFORM
45,5401 Dodge Rd Cass City 48726,2090.0,0.0,28895766.295,18202.673506723928,-73767.5002730292,-164313.6399807981,0.0,23116.613036000002,1056176.5857912193,190891.2382463386,241185.3613792538,No,No,76871.72139845572,0.0,43.6255926,-83.23464709999998,MULTIFORM
46,"3427 Wacousta Rd St, Johns 48879",3250.0,0.0,44933607.87500001,28305.59277361377,-116753.24577001385,-256880.5251263571,0.0,35946.886300000006,1681176.5857912193,296361.8630425329,376417.89093735284,No,No,119537.36581099576,0.0,43.038279,-84.7006743,MULTIFORM
47,9175 Toppin Road Harbor Beach 48441,1280.0,0.0,17696928.64,11148.048846223266,-67291.44877755224,-119896.55120767672,0.0,14157.542912,1053430.7707055672,116812.51293963967,166975.88297323813,No,No,47079.3317655614,0.0,43.79041309999999,-82.65549829999998,MULTIFORM
48,4100 East Ridge Road Elsie 48831,3450.0,0.0,47698752.975,30047.475405836147,-118300.1664691186,-267708.97002009046,0.0,38159.002380000005,1681176.5857912193,314546.45352463523,394602.4814194552,No,No,126893.51139936471,0.0,43.0962751,-84.4821632,MULTIFORM
49,11420 East R Avenue Scotts 49088,1800.0,0.0,24886305.900000002,15676.943690001464,-71313.4425952247,-148050.50793138373,0.0,19909.04472,1053430.7707055672,164092.448193106,214255.81822670443,No,No,66205.3102953207,0.0,42.1862735,-85.40469209999998,MULTIFORM
50,6682 E. Kinde Rd Port Hope 48468,970.0,0.0,13410953.735,8448.13076627857,-64639.73302091891,-102764.4741593595,0.0,10728.762988,1049140.9709612187,88482.68640765286,138441.780262949,No,No,35677.3061035895,0.0,43.94615510000001,-82.7581783,MULTIFORM
51,4120 Maple Valley Rd Marlette 48453,2180.0,0.0,30140081.590000004,18986.520691224,-74463.61458762635,-169186.44018297814,0.0,24112.065272000003,1056176.5857912193,199074.30396328468,249368.42709619988,No,No,80181.98691322176,0.0,43.3053903,-82.98370190000001,MULTIFORM
52,6790 East Mulder Road Falmouth 49632,2925.0,0.0,40440247.087500006,25475.033496252385,-114239.49963396856,-239284.30217404012,0.0,32352.197670000005,1681176.5857912193,266811.9035091164,346867.93140393635,No,No,107583.6292298962,0.0,44.2272074,-84.9567876,MULTIFORM
53,3981 Aitken Rd Marlette 48453,4290.0,0.0,59312362.394999996,37363.382461170164,-124797.2334053587,-313188.4385737711,0.0,47449.88991599999,1681176.5857912193,390921.73354946554,470977.7614442855,No,No,157789.3228705144,0.0,43.313689,-82.98277850000002,MULTIFORM
54,6400 Hollister Road Elsie 48831,2951.0,0.0,40799715.95049999,25701.478238441294,-114440.59932485217,-240692.00001022546,0.0,32639.77276039999,1681176.5857912193,269175.90027178964,349231.9281666096,No,No,108539.92815638414,0.0,43.08004260000001,-84.38495920000003,MULTIFORM
55,9697 W Riley Rd Elsie 48831,3300.0,0.0,45624894.15,28741.06343166935,-117139.97594479,-259587.63634979038,0.0,36499.91532,1681176.5857912193,300908.0106630584,380964.03855787835,No,No,121376.40220808798,0.0,43.0706256,-84.35202259999998,MULTIFORM
56,15080 M-37 Hwy Battle Creek 49017,3180.0,0.0,43965807.09,27695.93385233592,-116211.82352532716,-253090.56941355026,0.0,35172.645672000006,1681176.5857912193,289997.2563737969,370053.2842686169,No,No,116962.71485506663,0.0,42.44138,-85.24084169999998,MULTIFORM
57,2450 Wilkinson Rd Adrian 49221,2300.0,0.0,31799168.650000002,20031.650270557435,-75391.76700708922,-175683.5071192182,0.0,25439.33492,1056176.5857912193,209985.05825254615,260279.18138546136,No,No,84595.67426624316,0.0,41.919756,-84.199783,MULTIFORM
58,1580 Hughes Highway Clayton 49235,1900.0,0.0,26268878.45,16547.885006112654,-72086.90294477709,-153464.73037825048,0.0,21015.10276,1053430.7707055672,173184.74343415725,223348.11346775567,No,No,69883.38308950521,0.0,41.893091,-84.28041100000002,MULTIFORM
59,9175 Cressey Rd. Hickory Corners 49060,4132.0,0.0,57127897.76600001,35987.295181714486,-123575.1660530659,-304633.9671077216,0.0,45702.318212800004,1681176.5857912193,376555.9070686046,456611.9349634246,No,No,151977.96785570294,0.0,42.4272596,-85.46741490000002,MULTIFORM
60,10570 South Brown Road McBain 49657,1230.0,0.0,17005642.365000002,10712.578188167667,-66904.71860277606,-117189.43998424332,0.0,13604.513892,1053430.7707055672,112266.36531911405,162429.7353527125,No,No,45240.29536846917,0.0,44.18064589999999,-85.31466449999998,MULTIFORM
61,8549 Stein Road Sebewaing 48759,3065.0,0.0,42375848.657500006,26694.35133880806,-78315.0892756043,-84261.7629988237,0.0,33900.678926,1391831.5857912193,113280.87083695795,179558.5653984446,No,No,95296.80239962088,0.0,43.77119250000001,-83.31974720000002,NURESYS
62,4196 E.. McBride Rd Edmore 48829,1000.0,0.0,13825725.500000002,8709.413161111926,-64871.771125784624,-104388.74089341953,0.0,11060.580400000003,1049140.9709612187,91210.37497996824,141169.4688352644,No,No,36780.727941844845,0.0,43.350286,-85.0389929,MULTIFORM
63,9864 Haley Rd. Clayton 49235,1960.0,0.0,27098421.980000004,17070.449795779376,-72550.97915450852,-156713.26384637054,0.0,21678.737584000002,1053430.7707055672,178640.120578788,228803.49061238643,No,No,72090.22676601588,0.0,41.830144,-84.214573,MULTIFORM
64,20849 F Drive S Marshall 49068,2420.0,0.0,33458255.71,21076.779849890867,-110333.52486872897,-211942.47881736307,0.0,26766.604568000002,1681176.5857912193,220895.81254180762,300951.8404366276,No,No,89009.36161926454,0.0,42.2031454,-84.8886974,MULTIFORM
65,6650 N. Wisner Road Breckenridge 48615,2250.0,0.0,31107882.37500001,19596.179612501837,-75005.03683231302,-172976.39589578487,0.0,24886.305900000007,1056176.5857912193,205438.91063202056,255733.03376493577,No,No,82756.63786915092,0.0,43.388304,-84.4883983,MULTIFORM
66,8502 S Meridian Rd Hudson 49247,3505.0,0.0,48459167.87750002,30526.493129697305,-118725.56966137243,-270686.7923658672,0.0,38767.33430200002,1681176.5857912193,319547.2159072134,399603.24380203336,No,No,128916.4514361662,0.0,41.8038404,-84.36152440000002,MULTIFORM
67,4780 Loew Rd. Byron Center 49315,1275.0,0.0,17627800.012500003,11104.501780417706,-67252.77576007463,-119625.84008533337,0.0,14102.240010000001,1053430.7707055672,116357.89817758712,166521.26821118558,No,No,46895.42812585219,0.0,42.7671464,-85.8297741,MULTIFORM
68,3154 South Green Avenue Fremont 49412,1400.0,0.0,19356015.7,12193.178425556694,-68219.60119701512,-126393.61814391677,0.0,15484.81256,1053430.7707055672,127723.26722890111,177886.63726249954,No,No,51493.019118582786,0.0,43.4970541,-85.97871769999998,MULTIFORM
69,2730 130th Avenue Allegan 49010,5400.0,0.0,74658917.7,47030.83107000442,-168055.82375326758,-403939.70907872706,0.0,59727.13416,2317353.1715824385,492205.4889369541,602555.6399646893,No,No,198615.93088596218,0.0,42.6381266,-85.81226389999998,MULTIFORM
70,1689 7 Mile Road Falmouth 49632,1500.0,0.0,20738588.25,13064.119741667888,-68993.06154656752,-131807.8405907835,0.0,16590.870600000002,1053430.7707055672,136815.56246995236,186978.93250355078,No,No,55171.091912767275,0.0,44.3130514,-85.07386190000003,MULTIFORM
71,4100 Gilson Road Saint Johns 48879,3000.0,0.0,41477176.5,26128.239483335776,-114819.59489613284,-243344.96900919016,0.0,33181.741200000004,1681176.5857912193,273631.1249399047,353687.1528347247,No,No,110342.18382553455,0.0,43.04663550000001,-84.49356359999999,MULTIFORM
72,7416 Argentine Road Howell 48855,2355.0,0.0,32559583.552500006,20510.667994418585,-75817.17019934303,-178661.3294649949,0.0,26047.666842000006,1056176.5857912193,214985.82063512428,265279.9437680395,No,No,86618.6143030446,0.0,42.7145781,-83.84010079999999,MULTIFORM
73,8460 W Mulberry Rd Morenci 49256,2000.0,0.0,27651451.000000004,17418.826322223853,-72860.36329432948,-158878.95282511722,0.0,22121.160800000005,1053430.7707055672,182277.0386752085,232440.4087088069,No,No,73561.45588368969,0.0,41.743334,-84.186764,MULTIFORM
74,7742 South Lucas Road McBain 49657,2585.0,0.0,35739500.417500004,22513.833021474336,-111609.73444549042,-220875.9458546932,0.0,28591.600334000006,1681176.5857912193,235898.09968954217,315954.12758436217,No,No,95078.18172966896,0.0,44.2265638,-85.28509090000001,MULTIFORM
75,113 Lee Rd Saranac 48881,4115.0,0.0,56892860.4325,35839.23515797558,-123443.677793642,-303713.5492917543,0.0,45514.288345999994,1681176.5857912193,375010.2168776259,455066.2447724459,No,No,151352.69548069156,0.0,43.0069979,-85.2328375,MULTIFORM
76,1655 N. Meridian Rd. Mason 48854,1150.0,0.0,15899584.325000001,10015.825135278717,-66285.95032313414,-112858.06202674995,0.0,12719.66746,1053430.7707055672,104992.52912627308,155155.8991598715,No,No,42297.83713312158,0.0,42.6335846,-84.36400739999998,MULTIFORM
77,"62nd Street, 1300 ft south of 74th Avenue Hartford 49057",3499.0,0.0,48376213.52449999,30474.23665073062,-118679.16204039929,-270361.9390190552,0.0,38700.97081959999,1681176.5857912193,319001.6781927503,399057.7060875703,No,No,128695.76706851508,0.0,42.5136996,-86.14926489999998,MULTIFORM
78,333 E Tupperlake Rd Lake Odessa 48849,3450.0,0.0,47698752.975,30047.475405836147,-118300.1664691186,-267708.97002009046,0.0,38159.002380000005,1681176.5857912193,314546.45352463523,394602.4814194552,No,No,126893.51139936471,0.0,42.7855531,-85.06754659999999,MULTIFORM
79,7691 Russell Road Greenville 48838,2535.0,0.0,35048214.142500006,22078.36236341874,-111223.00427071424,-218168.83463125984,0.0,28038.571314000004,1681176.5857912193,231351.95206901652,311407.9799638365,No,No,93239.14533257668,0.0,43.1828657,-85.18535190000001,MULTIFORM
80,7601 Dillion Hwy Hudson 49247,3505.0,0.0,48459167.87750002,30526.493129697305,-118725.56966137243,-270686.7923658672,0.0,38767.33430200002,1681176.5857912193,319547.2159072134,399603.24380203336,No,No,128916.4514361662,0.0,41.799124600000006,-84.31210420000002,MULTIFORM
81,4071 SW County Line Rd St. Louis 48880,3410.0,0.0,47145723.955,29699.098879391673,-78590.41070424537,-86189.01299931124,0.0,37716.579164,1391831.5857912193,125934.84084653821,192212.53540802485,No,No,106023.5224087136,0.0,43.4660835,-84.54717109999999,NURESYS
82,"Section 18 Hamilton Township, SW Corner Middleton 48856",1000.0,0.0,13825725.500000002,8709.413161111926,-64871.771125784624,-104388.74089341953,0.0,11060.580400000003,1049140.9709612187,91210.37497996824,141169.4688352644,No,No,36780.727941844845,0.0,40.2115109,-74.6796651,MULTIFORM
83,9717 Forrister Road Adrian 49221,4000.0,0.0,55302902.00000001,34837.652644447706,-122554.19839165676,-297487.19347785757,0.0,44242.32160000001,1681176.5857912193,364554.077350417,444610.10524523695,No,No,147122.91176737938,0.0,41.9081973,-84.1782293,MULTIFORM
84,168 East Wing Road Mount Pleasant 48858,1250.0,0.0,17282156.874999996,10886.766451389905,-67059.41067268654,-118272.28447361667,0.0,13825.725499999999,1053430.7707055672,114084.82436732428,164248.19440092274,No,No,45975.90992730605,0.0,43.5586259,-84.8449488,MULTIFORM
85,25360 12th Avenue Gobles 49055,890.0,0.0,12304895.695000002,7751.377713389615,-64020.96474127701,-98433.09620186611,0.0,9843.916556000002,1049140.9709612187,81208.8502148119,131167.94407010803,No,No,32734.847868241915,0.0,42.3755679,-85.79724709999998,MULTIFORM
86,5813 West Walker Road Saint Johns 48879,1935.0,0.0,26752778.842500005,16852.714466751575,-72357.61406712043,-155359.70823465387,0.0,21402.223074,1053430.7707055672,176367.0467685252,226530.41680212365,No,No,71170.70856746977,0.0,43.0143075,-84.6457848,MULTIFORM
87,3896 Fitzgerald Road Fremont 49412,1255.0,0.0,17351285.502500005,10930.313517195471,-67098.08369016416,-118542.99559596003,0.0,13881.028402000004,1053430.7707055672,114539.43912937687,164702.80916297532,No,No,46159.813567015284,0.0,43.485745,-86.004222,MULTIFORM
88,11691 East Walton Road Shepherd 48883,2760.0,0.0,38159002.38,24037.98032466892,-78071.68917202305,-82557.96227375502,0.0,30527.201904,1391831.5857912193,102094.02778501017,168371.7223464968,No,No,85813.76007274177,0.0,43.5275628,-84.61018729999998,NURESYS
89,6584 South Brand Avenue Clare 48617,3050.0,0.0,42168462.775,26563.710141391366,-78303.11877870688,-84177.96952054162,0.0,33734.77022,1391831.5857912193,112730.69822784574,179008.39278933237,No,No,94830.42326879075,0.0,43.8956211,-84.6858056,NURESYS
90,6330 Rangeline Road Palms 48465,2400.0,0.0,33181741.200000007,20902.591586668623,-110178.83279881848,-210859.6343279897,0.0,26545.392960000005,1681176.5857912193,219077.3534935974,299133.3813884174,No,No,88273.74706042765,0.0,43.6092479,-82.7561644,MULTIFORM
91,2647 East Caro Road Caro 48723,2200.0,0.0,30416596.1,19160.708954446236,-74618.30665753684,-170269.28467235147,0.0,24333.27688,1056176.5857912193,200892.76301149488,251186.8861444101,No,No,80917.60147205864,0.0,43.5516062,-83.32449749999998,MULTIFORM
92,3657 Parisville Rd Ruth 48470,1650.0,0.0,22812447.075,14370.531715834675,-70153.25207089611,-139929.17426108365,0.0,18249.95766,1053430.7707055672,150454.0053315292,200617.37536512763,No,No,60688.20110404399,0.0,43.7320523,-82.79898709999998,MULTIFORM
93,2125 9th Street Shelbyville 49344,1550.0,0.0,21429874.525,13499.590399723487,-69379.79172134372,-134514.95181421685,0.0,17143.899619999997,1053430.7707055672,141361.71009047795,191525.0801240764,No,No,57010.12830985951,0.0,38.2126419,-85.2217388,MULTIFORM
94,3545 102nd Ave. Gobles 49055,1437.0,0.0,19867567.5435,12515.426712517836,-68505.7815263495,-128396.88044925744,0.0,15894.0540348,1053430.7707055672,131087.41646809003,181250.78650168848,No,No,52853.90605243103,0.0,42.43450379999999,-85.8901538,MULTIFORM
95,492 S. Pinnebog Rd Bad Axe 48413,1400.0,0.0,19356015.7,12193.178425556694,-68219.60119701512,-126393.61814391677,0.0,15484.81256,1053430.7707055672,127723.26722890111,177886.63726249954,No,No,51493.019118582786,0.0,43.8112461,-83.10128990000003,MULTIFORM
96,12850 Parker Road Delton 49046,2650.0,0.0,36638172.574999996,23079.9448769466,-112112.4836726995,-224395.1904451566,0.0,29310.53806,1681176.5857912193,241808.0915962254,321864.11949104536,No,No,97468.92904588881,0.0,42.46400420000001,-85.4446787,MULTIFORM
97,2080 Grindstone Rd Port Austin 48467,950.0,0.0,13134439.225,8273.942503056327,-64485.040951008436,-101681.62966998614,0.0,10507.55138,1049140.9709612187,86664.22735944262,136623.32121473877,No,No,34941.691544752604,0.0,44.0423401,-82.94443489999998,MULTIFORM
98,4877 Moeller Rd and 5751 Huron City Rd Port Hope 48468,3490.0,0.0,48251781.995,30395.851932280613,-78654.25335436504,-86635.91155014891,0.0,38601.425596,1391831.5857912193,128869.0947618032,195146.78932328982,No,No,108510.8777731409,0.0,43.9590092,-82.831402,NURESYS
