,Address,Animal Units,Electricity incentive (USD/year),Manure generated (kg/year),Mass TP recovered (kg/year),NPV (USD),Net revenue (USD/year),Pcredits (USD/year),Phosphorus released generated (kg/year),Process capital cost (USD),Process operation cost (USD/year),Process operation cost amortized (USD/year),Profitable,Recommended,Struvite revenues (USD/year),Total incentives (USD/year),latitude,longitude,tech_selected
10,"HUNTINGDON, PA 16652",718.4,0.0,3552366.6975000002,2085.765623921278,-58978.5868982866,-63136.451300933324,0.0,2841.893358,1049140.9709612187,22051.60581047112,72010.69966576726,No,No,8874.248364833924,0.0,40.5087323,-77.9510209,MULTIFORM
11,"OXFORD, PA 19363-4100",122.69,0.0,1279999.61855,751.5494402317227,-57800.67344522135,-54891.05712947657,0.0,1023.99969484,1049140.9709612187,8129.559549896953,58088.65340519309,No,No,3197.596275716517,0.0,39.785385999999995,-75.97883490000001,MULTIFORM
12,"KLINGERSTOWN, PA 17941-9647",696.61,0.0,7267589.324950001,4267.151809925995,-60904.42482937823,-76617.31681857469,0.0,5814.071459960001,1049140.9709612187,44813.55381034746,94772.6476656436,No,No,18155.330847068897,0.0,40.6603706,-76.6894161,MULTIFORM
13,"MCCLURE, PA 17841",1361.34,0.0,14202581.145299999,8339.019601964734,-64499.27543153636,-101781.27103368167,0.0,11362.06491624,1049140.9709612187,87301.9694514634,137261.06330675952,No,No,35479.79227307787,0.0,40.7070206,-77.31443370000001,MULTIFORM
14,"SHIRLEYSBURG, PA 17260",517.79,0.0,5401996.923049999,3171.772635565927,-59937.36875446373,-69847.92429417316,0.0,4321.597538439999,1049140.9709612187,33383.682306211405,83342.77616150753,No,No,13494.85186733438,0.0,40.2978576,-77.8741635,MULTIFORM
15,"NEW HOLLAND, PA 17557-9775",637.9,0.0,6655079.930500001,3907.5180367089083,-60586.92196527897,-74394.79676987985,0.0,5324.063944400001,1049140.9709612187,41060.910056808556,91020.00391210469,No,No,16625.20714222485,0.0,40.1017643,-76.085227,MULTIFORM
16,"ICKESBURG, PA 17037",563.34,0.0,5877210.735300002,3450.793558237335,-60183.702521449275,-71572.260663072,0.0,4701.768588240002,1049140.9709612187,36295.16115093458,86254.25500623071,No,No,14681.99434315872,0.0,40.4559146,-77.35165359999999,MULTIFORM
17,"EPHRATA, PA 17522-8832",331.6,0.0,3459514.822,2031.2478146616616,-58930.455821971096,-62799.533766724766,0.0,2767.6118576000003,1049140.9709612187,21482.732885816098,71441.82674111222,No,No,8642.29297438746,0.0,40.1798165,-76.17883909999999,MULTIFORM
18,"LANCASTER, PA 17603-9775",578.8,0.0,6038501.746,3545.495280838871,-60267.30998659958,-72157.51291912416,0.0,4830.8013968000005,1049140.9709612187,37283.33816387465,87242.43201917078,No,No,15084.919100046625,0.0,40.0144597,-76.3289941,MULTIFORM
19,"MYERSTOWN, PA 17067-1852",367.19,0.0,3830817.99605,2249.257795734666,-59122.92604737209,-64146.82534453178,0.0,3064.6543968400006,1049140.9709612187,23757.585401374767,73716.6792566709,No,No,9569.853912139115,0.0,40.374536299999995,-76.3027318,MULTIFORM
20,"WOMELSDORF, PA 19567-9497",352.11,0.0,3673491.4474500003,2156.8837998206195,-59041.37361694088,-63575.95833151325,0.0,2938.79315796,1049140.9709612187,22793.697344768287,72752.79120006441,No,No,9176.832868551171,0.0,40.3617591,-76.18411390000001,MULTIFORM
21,"BIGLERVILLE, PA 17307-9205",328.4,0.0,3426129.878,2011.6459057143832,-58913.150266441924,-62678.39487802057,0.0,2740.9039024,1049140.9709612187,21278.19430616485,71237.28816146098,No,No,8558.893283440411,0.0,39.9303715,-77.2480391,MULTIFORM
22,"MOUNT JOY, PA 17552-9750",714.08,0.0,7449850.2536,4374.165981585039,-60998.9023465953,-77278.65943909418,0.0,5959.88020288,1049140.9709612187,45930.20661863096,95889.30047392708,No,No,18610.64103483292,0.0,40.109818,-76.50329959999999,MULTIFORM
23,"ELIZABETHTOWN, PA 17022",437.69,0.0,4566330.0435500005,2681.11235222938,-59504.18906762416,-66815.66648629618,0.0,3653.0640348400007,1049140.9709612187,28263.82598431623,78222.91983961235,No,No,11407.253353316184,0.0,40.1528719,-76.6027455,MULTIFORM
24,"LITITZ, PA 17543-8491",406.0,0.0,4235714.7700000005,2486.99219768587,-59332.80998802433,-65616.0129290974,0.0,3388.5718160000006,1049140.9709612187,26238.25486270751,76197.34871800363,No,No,10581.335788906237,0.0,40.1573169,-76.30690140000002,MULTIFORM
25,"PARADISE, PA 17562-9703",487.08,0.0,5081605.7886,2983.655565637521,-59771.28950124471,-68685.36952164005,0.0,4065.2846308799994,1049140.9709612187,31420.75112462089,81379.84497991702,No,No,12694.47545827697,0.0,40.0098226,-76.12856540000001,MULTIFORM
26,"HARRISONVILLE, PA 17228-9348",772.84,0.0,8062881.287800002,4734.106034629428,-61316.67560999971,-79503.07228292504,0.0,6450.305030240002,1049140.9709612187,49686.04628747694,99645.14014277307,No,No,20142.067859848023,0.0,39.9901516,-78.09942099999999,MULTIFORM
27,"NEELYTON, PA 17239-9434",1208.06,0.0,12603442.3277,7400.088163390127,-63670.33932168907,-95978.71826475051,0.0,10082.753862160002,1049140.9709612187,77504.57148616883,127463.66534146496,No,No,31484.94707671445,0.0,40.160075299999995,-77.82314790000001,MULTIFORM
28,"NEEDMORE, PA 17238-8944",346.28,0.0,3612668.2526,2121.1715719572976,-59009.84505796117,-63355.258418655285,0.0,2890.1346020799997,1049140.9709612187,22421.053619966176,72380.1474752623,No,No,9024.88905660702,0.0,39.8709179,-78.12223359999999,MULTIFORM
29,"CONESTOGA, PA 17516-9410",519.1,0.0,5415663.884500001,3179.797167041219,-59944.45321625847,-69897.51552673645,0.0,4332.531107600001,1049140.9709612187,33467.415287256146,83426.50914255227,No,No,13528.99361581583,0.0,39.945490899999996,-76.33790450000001,MULTIFORM
30,"DELTA, PA 17314-8866",632.5,0.0,6598742.8375,3874.4398153603775,-60557.71884032349,-74190.3748951915,0.0,5278.99427,1049140.9709612187,40715.75120364708,90674.8450589432,No,No,16484.47016375171,0.0,39.727049,-76.3266255,MULTIFORM
31,"COLUMBIA, PA 17512-9691",1466.7,0.0,15301780.426500002,8984.412454053856,-65323.04952035525,-106117.75640729771,0.0,12241.424341200001,1053430.7707055672,94180.11347120858,144343.48350480702,No,No,38225.727097509305,0.0,40.0337085,-76.5044098,MULTIFORM
32,"MANHEIM, PA 17545-8122",345.13,0.0,3600670.53835,2114.1271359293705,-59003.625873942874,-63311.72413052721,0.0,2880.53643068,1049140.9709612187,22347.54756790401,72306.64142320014,No,No,8994.917292672932,0.0,40.163427899999995,-76.3949614,MULTIFORM
33,"CLEARVILLE, PA 15535-5164",147.99,0.0,1543949.3320500003,906.5270328461379,-57937.49549362386,-55848.811468294145,0.0,1235.1594656400002,1049140.9709612187,9746.692695264595,59705.786550560726,No,No,3856.975082266585,0.0,39.9167511,-78.3839036,MULTIFORM
34,"EPHRATA, PA 17522-1114",148.68,0.0,1551147.9606,910.7536944628945,-57941.22700403483,-55874.932041170985,0.0,1240.91836848,1049140.9709612187,9790.796326501899,59749.89018179803,No,No,3874.958140627042,0.0,40.1798165,-76.17883909999999,MULTIFORM
35,"MANHEIM, PA 17545-9417",593.36,0.0,6190403.2412,3634.6839665489847,-60346.05026425731,-72708.69486272827,0.0,4952.32259296,1049140.9709612187,38213.9887012878,88173.08255658393,No,No,15464.387693855673,0.0,40.163427899999995,-76.3949614,MULTIFORM
36,"GETTYSBURG, PA 17325",416.83,0.0,4348701.93985,2553.3324082793138,-59391.378477518374,-66025.99235555567,0.0,3478.96155188,1049140.9709612187,26930.490118214682,76889.58397351082,No,No,10863.591617955139,0.0,39.830929299999994,-77.2310955,MULTIFORM
37,"HUNTINGDON, PA 16652",340.5,0.0,3552366.6975000002,2085.765623921278,-58978.5868982866,-63136.451300933324,0.0,2841.893358,1049140.9709612187,22051.60581047112,72010.69966576726,No,No,8874.248364833924,0.0,40.5087323,-77.9510209,MULTIFORM
38,"NEWBURG, PA 17240",670.81,0.0,6998423.21395,4109.111419038568,-60764.89878792429,-75640.63452839709,0.0,5598.73857116,1049140.9709612187,43164.461511909314,93123.55536720544,No,No,17482.920838808353,0.0,40.1373098,-77.55471,MULTIFORM
39,"TODD, PA 16685",766.07,0.0,7992251.265650001,4692.635746012844,-61280.06354408331,-79246.78782151021,0.0,6393.801012520001,1049140.9709612187,49253.31935490226,99212.4132101984,No,No,19965.62538868818,0.0,40.3108412,-78.0766036,MULTIFORM
40,"UNITYVILLE, PA 17774",586.26,0.0,6116330.396699999,3591.192231072212,-60307.653562926964,-72439.91795341582,0.0,4893.064317359999,1049140.9709612187,37760.16872768661,87719.26258298274,No,No,15279.344629566924,0.0,41.233283899999996,-76.514832,MULTIFORM
41,"WELLSBORO, PA 16901-7406",624.0,0.0,6510064.079999999,3822.3722447191703,-60511.750958449134,-73868.59972207097,0.0,5208.051264,1049140.9709612187,40172.44560144846,90131.53945674459,No,No,16262.939734673624,0.0,41.7486838,-77.3005304,MULTIFORM
42,"DALMATIA, PA 17017-7235",116.64,0.0,1216881.2088000001,714.4895811282755,-57767.95512929902,-54662.028918020194,0.0,973.5049670400002,1049140.9709612187,7742.853797743821,57701.947653039955,No,No,3039.918735019762,0.0,40.6544124,-76.90169300000001,MULTIFORM
43,"GRANVILLE SUMMIT, PA 16926-9231",677.92,0.0,7072600.386399999,4152.664410480801,-60803.34956911567,-75909.78999673673,0.0,5658.08030912,1049140.9709612187,43618.92066857191,93578.01452386804,No,No,17668.22452713132,0.0,41.7178527,-76.7791224,MULTIFORM
44,"HARRISON VALLEY, PA 16927",685.37,0.0,7150324.7091500005,4198.300104748681,-60843.63906558202,-76191.81647200118,0.0,5720.25976732,1049140.9709612187,44095.112049322466,94054.2059046186,No,No,17862.389432617412,0.0,41.941852000000004,-77.6495854,MULTIFORM
45,"DANVILLE, PA 17821-9454",626.63,0.0,6537502.330849999,3838.482563635213,-60525.97396189967,-73968.16074622473,0.0,5230.001864679999,1049140.9709612187,40340.55074659933,90299.64460189546,No,No,16331.483855670725,0.0,40.96342,-76.6127329,MULTIFORM
46,"MOUNT PLEASANT MILLS, PA 17853-8134",713.87,0.0,7447659.36665,4372.879606310375,-60997.7666695137,-77270.70969952297,0.0,5958.12749332,1049140.9709612187,45916.78377434135,95875.87762963749,No,No,18605.167930114512,0.0,40.7231401,-77.015815,MULTIFORM
47,"MARTINSBURG, PA 16662-8020",4606.59,0.0,63689448.831045,40120.69557384659,-79545.32916307908,-92873.44221114718,0.0,50951.559064836,1391831.5857912193,169823.5770023749,236101.27156386152,No,No,143227.82935271435,0.0,40.3111875,-78.3241795,NURESYS
48,"SPRUCE CREEK, PA 16683-1508",7533.19,0.0,104151817.07934499,65609.66413115675,-82540.42793678239,-110113.60502999744,0.0,83321.45366347599,1403008.1715824383,277525.19906937645,344335.1120018735,No,No,234221.50697187605,0.0,40.6092784,-78.1355118,NURESYS
49,"PEACH BOTTOM, PA 17563-9406",1828.06,0.0,25274255.75753,15921.329823302263,-71530.4755693091,-149569.73874997455,0.0,20219.404606024,1053430.7707055672,166643.74623774498,216807.11627134343,No,No,67237.37752136886,0.0,39.7506049,-76.22692119999998,MULTIFORM
50,"GREENCASTLE, PA 17225-9382",1896.3,0.0,26217723.265650004,16515.660177416547,-72058.28491184366,-153264.40414771647,0.0,20974.178612520005,1053430.7707055672,172848.3285102384,223011.69854383683,No,No,69747.29439612039,0.0,39.790371,-77.72777140000001,MULTIFORM
51,"LOGANTON, PA 17747-8935",2097.33,0.0,28997108.862914998,18266.513505194875,-73824.1949166514,-164710.5024861534,0.0,23197.687090332,1056176.5857912193,191557.70348750762,241851.82662042283,No,No,77141.32413426944,0.0,41.0342375,-77.3066405,MULTIFORM
52,"MILL HALL, PA 17751-8938",2031.91,0.0,28092629.900705,17696.74369619493,-73107.17449187163,-160606.63120791235,0.0,22474.103920564,1053430.7707055672,185178.3900866279,235341.7601202263,No,No,74735.12891231396,0.0,41.10729,-77.48443,MULTIFORM
53,"ROARING BRANCH, PA 17765-8959",1516.04,0.0,20960352.887020003,13203.818728772125,-69117.1245866357,-132676.28187126096,0.0,16768.282309616003,1053430.7707055672,138273.96662661698,188437.3366602154,No,No,55761.05478895446,0.0,41.5937185,-76.9873477,MULTIFORM
54,"BELLEFONTE, PA 16823-6704",2723.5,0.0,37654363.39924999,23720.086744288332,-78042.56096290595,-82354.0648099353,0.0,30123.490719399997,1391831.5857912193,100755.2744361705,167032.96899765712,No,No,84678.90418772183,0.0,40.91339430000001,-77.7783348,NURESYS
55,"ULYSSES, PA 16948",2136.5,0.0,29538662.53075,18607.66121871563,-74127.15933557108,-166831.25341859108,0.0,23630.930024600002,1056176.5857912193,195119.15553342737,245413.27866634258,No,No,78582.0252477515,0.0,41.9039569,-77.7619373,MULTIFORM
56,"MIFFLINBURG, PA 17844-7714",2146.5,0.0,29676919.785749998,18694.75535032675,-74204.50537052631,-167372.6756632777,0.0,23741.5358286,1056176.5857912193,196028.38505753243,246322.50819044764,No,No,78949.83252716994,0.0,40.917582,-77.04775009999999,MULTIFORM
57,"SHINGLEHOUSE, PA 16748-8537",1726.27,0.0,23866935.158885002,15034.798657632684,-70743.1702794997,-144058.6017213089,0.0,19093.548127108003,1053430.7707055672,157388.69891187895,207552.06894547737,No,No,63493.467224168504,0.0,41.96367679999999,-78.1908437,MULTIFORM
58,"CONNEAUTVILLE, PA 16406-4746",2605.0,0.0,36016014.9275,22688.021284696566,-77947.99403741618,-81692.09633150697,0.0,28812.811942000004,1391831.5857912193,96408.91082418423,162686.60538567085,No,No,80994.5090541639,0.0,41.757833000000005,-80.36784240000001,NURESYS
59,"COCHRANVILLE, PA 19330-9471",1607.99,0.0,22231628.346745003,14004.649268936368,-69828.32137804915,-137654.65941115492,0.0,17785.302677396,1053430.7707055672,146634.3321007636,196797.702134362,No,No,59143.04272320711,0.0,39.8917958,-75.92140049999998,MULTIFORM
60,"KIRKWOOD, PA 17536-9759",504.22,0.0,6971207.311610001,4391.460304095856,-61037.1094047738,-77546.1088463436,0.0,5576.965849288001,1049140.9709612187,46132.593633884484,96091.68748918062,No,No,18545.578642837012,0.0,39.8424559,-76.07399989999998,MULTIFORM
61,"QUARRYVILLE, PA 17566-9630",1678.05,0.0,23200258.67527501,14614.83075500387,-70370.20769894555,-141447.86365742976,0.0,18560.206940220007,1053430.7707055672,153004.39414664407,203167.7641802425,No,No,61719.90052281275,0.0,39.897047,-76.1635655,MULTIFORM
62,"PEACH BOTTOM, PA 17563-9507",1727.36,0.0,23882005.19968,15044.291917978297,-70751.60099730983,-144117.61674597976,0.0,19105.604159744,1053430.7707055672,157487.80493000644,207651.1749636049,No,No,63533.55821762511,0.0,39.7506049,-76.22692119999998,MULTIFORM
63,"NARVON, PA 17555-9646",1594.16,0.0,22040418.56308,13884.198084918191,-69721.35181170604,-136905.87244675326,0.0,17632.334850464,1053430.7707055672,145376.8676689262,195540.23770252464,No,No,58634.36525577138,0.0,40.1102194,-75.9579358,MULTIFORM
64,"SPRUCE CREEK, PA 16683-1500",1531.3,0.0,21171333.45815,13336.72437361069,-69235.15463597742,-133502.49221665278,0.0,16937.06676652,1053430.7707055672,139661.45088040136,189824.8209139998,No,No,56322.328697346995,0.0,40.6092784,-78.1355118,MULTIFORM
65,"PEACH BOTTOM, PA 17563-9620",1009.82,0.0,13961494.124410002,8794.939598354047,-64947.72493211067,-104920.41753770184,0.0,11169.195299528,1049140.9709612187,92103.23837263948,142062.3322279356,No,No,37141.91469023377,0.0,39.7506049,-76.22692119999998,MULTIFORM
66,"QUARRYVILLE, PA 17566-9614",1052.65,0.0,14553649.947575005,9167.96376404447,-65278.997999823965,-107239.32901169488,0.0,11642.919958060003,1049140.9709612187,95997.46842438173,145956.56227967786,No,No,38717.23326798298,0.0,39.897047,-76.1635655,MULTIFORM
67,"ALEXANDRIA, PA 16611-2737",1839.65,0.0,25434495.916075006,16022.271921839554,-71620.11962382223,-150197.24713156643,0.0,20347.596732860005,1053430.7707055672,167697.54325618286,217860.9132897813,No,No,67663.66615821487,0.0,40.5564586,-78.09778469999998,MULTIFORM
68,"ALEXANDRIA, PA 16611-2737",1839.65,0.0,25434495.916075006,16022.271921839554,-71620.11962382223,-150197.24713156643,0.0,20347.596732860005,1053430.7707055672,167697.54325618286,217860.9132897813,No,No,67663.66615821487,0.0,40.5564586,-78.09778469999998,MULTIFORM
69,"QUARRYVILLE, PA 17566-9773",4709.06,0.0,65106170.92303002,41013.149140465735,-128038.49634619293,-335877.2791596108,0.0,52084.93673842401,1681176.5857912193,429023.9059866148,509079.9338814348,No,No,173202.65472182396,0.0,39.897047,-76.1635655,MULTIFORM
70,"PEACH BOTTOM, PA 17563-9676",705.6,0.0,9755431.912800001,6145.361926480576,-62594.70385670239,-88449.27000984387,0.0,7804.345530240002,1049140.9709612187,64442.65779031345,114401.75164560959,No,No,25952.481635765722,0.0,39.7506049,-76.22692119999998,MULTIFORM
71,"TOWNVILLE, PA 16360-3009",2304.75,0.0,31864840.846125,20073.01998307271,-75428.50637369297,-175940.68268544436,0.0,25491.872676900002,1056176.5857912193,210416.94227649603,260711.06540941124,No,No,84770.38272396689,0.0,41.67783499999999,-79.8797766,MULTIFORM
72,"WILLIAMSBURG, PA 16693-6713",4492.76,0.0,62115666.49738,39129.303073717216,-79454.48905229005,-92237.56143562398,0.0,49692.533197904006,1391831.5857912193,165648.5004626922,231926.19502417883,No,No,139688.63358855486,0.0,40.462017200000005,-78.19973200000003,NURESYS
73,"LOYSVILLE, PA 17047-6100",1222.8,0.0,16906097.1414,10649.870413407662,-66849.0294576083,-116799.61596806893,0.0,13524.87771312,1053430.7707055672,111611.72006175834,161775.0900953568,No,No,44975.47412728787,0.0,40.3656102,-77.3445942,MULTIFORM
74,"BLAIN, PA 17006",1229.6,0.0,17000112.0748,10709.094422903225,-66901.62476137784,-117167.78309445585,0.0,13600.08965984,1053430.7707055672,112229.99613814981,162393.36617174826,No,No,45225.58307729242,0.0,40.3384161,-77.51248819999998,MULTIFORM
75,"BELLEVILLE, PA 17004-9296",1279.63,0.0,17691813.121565,11144.826363353654,-67288.58697425891,-119876.51858462332,0.0,14153.450497252,1053430.7707055672,116778.87144724779,166942.24148084625,No,No,47065.72289622291,0.0,40.6050706,-77.7255502,MULTIFORM
76,"NOTTINGHAM, PA 19362",1116.1,0.0,15430892.230549999,9720.576029117019,-66023.74726463588,-111022.6406172621,0.0,12344.713784439999,1053430.7707055672,101910.24103955668,152073.61107315513,No,No,41050.970455893024,0.0,39.7509084,-76.02412740000001,MULTIFORM
77,"MYERSTOWN, PA 17067-1852",367.19,0.0,5076668.146345001,3198.0094186286883,-59977.23668778215,-70126.9998274021,0.0,4061.334517076001,1049140.9709612187,33673.42146507198,83632.51532036811,No,No,13505.515492966008,0.0,40.374536299999995,-76.30273179999998,MULTIFORM
78,"MANHEIM, PA 17545-9685",488.28,0.0,6750825.247139999,4252.63225830773,-60913.819825055136,-76683.08178831304,0.0,5400.660197711999,1049140.9709612187,44683.281772460905,94642.37562775704,No,No,17959.293839444,0.0,40.16342789999999,-76.3949614,MULTIFORM
79,"ELIZABETHTOWN, PA 17022-9641",859.7,0.0,11885976.212350002,7487.482494607924,-63786.606255362625,-96792.5868004655,0.0,9508.780969880001,1049140.9709612187,78453.88475677339,128412.97861206952,No,No,31620.391811604015,0.0,40.1528719,-76.6027455,MULTIFORM
80,"LEBANON, PA 17042-4752",937.33,0.0,12959267.282914998,8163.59423830504,-64387.043524720146,-100995.64768596814,0.0,10367.413826331998,1049140.9709612187,85512.23355240142,135471.32740769756,No,No,34475.679721729415,0.0,40.3409251,-76.4113497,MULTIFORM
81,"COCHRANVILLE, PA 19330",1950.0,0.0,16173333.6899,10188.271515868732,-66439.0954723455,-113930.07807122957,0.0,12938.666951919999,1053430.7707055672,106792.80358400122,156956.17361759965,No,No,43026.095546370096,0.0,39.8917958,-75.92140049999998,MULTIFORM
82,"COCHRANVILLE, PA 19330",1950.0,0.0,16173333.6899,10188.271515868732,-66439.0954723455,-113930.07807122957,0.0,12938.666951919999,1053430.7707055672,106792.80358400122,156956.17361759965,No,No,43026.095546370096,0.0,39.8917958,-75.92140049999998,MULTIFORM
83,"MOUNT JOY, PA 17552-8911",1405.93,0.0,19438002.252214998,12244.825245602091,-68265.46739574357,-126714.68153501597,0.0,15550.401801771999,1053430.7707055672,128262.44033669545,178425.8103702939,No,No,51711.128835277916,0.0,40.109818,-76.50329959999998,MULTIFORM
84,"LEBANON, PA 17042-9512",1204.65,0.0,16655160.223575003,10491.794564533484,-66708.64640416452,-115816.93459396262,0.0,13324.128178860003,1053430.7707055672,109961.46847550757,160124.83850910602,No,No,44307.9039151434,0.0,40.3409251,-76.4113497,MULTIFORM
85,"BERNVILLE, PA 19506-8740",1184.18,0.0,16372147.622590002,10313.512877125522,-66550.31907061115,-114708.643259089,0.0,13097.718098072002,1053430.7707055672,108100.27563966438,158263.64567326283,No,No,43555.002414173825,0.0,40.433426000000004,-76.11216479999999,MULTIFORM
86,"ELIZABETHTOWN, PA 17022",2140.07,0.0,29588020.37078501,18638.753823700805,-74154.7718700501,-167024.54115994423,0.0,23670.416296628006,1056176.5857912193,195443.75047353294,245737.87360644815,No,No,78713.33244650392,0.0,40.1528719,-76.6027455,MULTIFORM
87,"CHAMBERSBURG, PA 17202-9209",1387.14,0.0,19178216.870070003,12081.175372304799,-68120.13419606269,-125697.34913724972,0.0,15342.573496056004,1053430.7707055672,126553.99806090194,176717.3680945004,No,No,51020.018957250664,0.0,39.9375911,-77.6611022,MULTIFORM
88,"REINHOLDS, PA 17569-9422",1481.5,0.0,20482812.328250002,12902.995598187314,-68849.97138190031,-130806.2094381132,0.0,16386.2498626,1053430.7707055672,135133.4878503579,185296.85788395634,No,No,54490.64844584312,0.0,40.2670462,-76.11546690000002,MULTIFORM
89,"MOUNT JOY, PA 17552-9045",2006.6,0.0,27742700.788300008,17476.30844908719,-72911.41167739996,-159236.2915066105,0.0,22194.160630640006,1053430.7707055672,182877.13016111794,233040.50019471638,No,No,73804.20868810588,0.0,40.109818,-76.50329959999998,MULTIFORM
90,"MARTINSBURG, PA 16662",4395.05,0.0,60764754.858775005,38278.30631374497,-79376.51323550014,-91691.73071809461,0.0,48611.80388702,1391831.5857912193,162064.67608693542,228342.37064842205,No,No,136650.63993032745,0.0,40.3111875,-78.3241795,NURESYS
91,"BERNVILLE, PA 19506-8909",2968.61,0.0,41043186.976555,25854.851004208474,-114576.80569240835,-241645.44458311872,0.0,32834.549581244,1681176.5857912193,270777.05346373876,350833.08135855873,No,No,109187.63677544001,0.0,40.433426000000004,-76.11216479999999,MULTIFORM
92,"CHAMBERSBURG, PA 17201",1707.8,0.0,23611574.0089,14873.93579654695,-70600.31215293737,-143058.59483537264,0.0,18889.25920712,1053430.7707055672,155709.35198085685,205872.7220144553,No,No,62814.127179082636,0.0,39.9375911,-77.6611022,MULTIFORM
93,"LEBANON, PA 17042-9741",671.21,0.0,9279965.212855,5845.845207869936,-62328.71084249133,-86587.31891036638,0.0,7423.972170284001,1049140.9709612187,61315.817456915924,111274.91131221206,No,No,24687.592401845683,0.0,40.3409251,-76.4113497,MULTIFORM
94,"BAINBRIDGE, PA 17502-9407",1296.5,0.0,17925053.110749997,11291.754163381609,-67419.06973522839,-120789.89791140969,0.0,14340.042488599996,1053430.7707055672,118312.74165441307,168476.1116880115,No,No,47686.21377660183,0.0,40.090928600000005,-76.6674673,MULTIFORM
95,"GETTYSBURG, PA 17325-7127",4738.35,0.0,65511126.42292502,41268.24785195471,-128265.04288257685,-337463.1049142982,0.0,52408.901138340014,1681176.5857912193,431687.0392627188,511743.0671575388,No,No,174279.96224324056,0.0,39.830929299999994,-77.2310955,MULTIFORM
96,"MANHEIM, PA 17545-9385",14180.95,0.0,196061922.02922502,123507.75256707019,-155830.76215625965,163218.39069740198,0.0,156849.53762338002,3762101.1773736575,179219.5980964715,358367.2732095028,Yes,No,521585.6639069048,0.0,40.16342789999999,-76.3949614,CRYSTALACTOR
97,"LITITZ, PA 17543-9450",1380.36,0.0,19084478.451179996,12022.125551072457,-68067.69358436305,-125330.26485535216,0.0,15267.582760943997,1053430.7707055672,125937.54044355865,176100.9104771571,No,No,50770.64562180494,0.0,40.1573169,-76.30690140000002,MULTIFORM
98,"MOUNT JOY, PA 17552-9241",3678.3,0.0,50855166.10665,32035.834430517993,-120065.97644714672,-280069.63986628724,0.0,40684.13288532,1681176.5857912193,335304.16355995514,415360.1914547751,No,No,135290.55158848784,0.0,40.109818,-76.50329959999998,MULTIFORM
